Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.95025516,-0.21936853,-0.10012289,0.71297646,0.17810483,-0.106660955
81,8100,-80.23668543992896,0.88721174,0.31226867,-0.108867824,0.7991594,-0.03552181,-0.10314699
122,12200,-75.64105576775587,0.69151944,-0.27696502,-0.09917548,0.82297605,-0.037797578,-0.10310956
163,16300,-56.22063614945439,0.99767166,-0.008874143,-0.103585325,0.7612363,-0.08716712,-0.10229748
204,20400,-11.248493738658155,0.8562834,0.19073048,-0.10686863,0.68651533,0.22688867,-0.107463405
245,24500,-17.7888587652651,0.70219445,0.1868638,-0.106805034,0.72857404,0.19041687,-0.10686348
286,28600,3.9292817448462904,0.6753699,-0.09422681,-0.10218135,0.80507404,0.036249883,-0.104327574
327,32700,23.101991821623642,0.96066844,-0.03800093,-0.103106216,0.81755686,-0.21154146,-0.10025164
368,36800,25.99470566901391,0.9360722,0.23517643,-0.10759973,0.7574421,0.21229559,-0.10722336
409,40900,34.01565584217265,0.7385466,-0.03529248,-0.10315077,0.7573283,-0.047585823,-0.102948554
450,45000,77.6498155267618,0.9810488,-0.27465218,-0.099213526,0.8568034,-0.26641828,-0.09934896
491,49100,99.07838827928782,0.5056643,-0.08439362,-0.1023431,0.72718996,-0.075526245,-0.10248896
532,53200,126.96353001035156,0.98884475,-0.26870906,-0.099311285,0.77124256,-0.42006442,-0.09682163
573,57300,87.70306765931073,0.71920013,0.13009588,-0.10587125,0.7428553,0.18767025,-0.106818296
614,61400,107.97706595169966,0.99120486,0.22549586,-0.107440494,0.7806195,0.16128011,-0.1063842
655,65500,138.3873642542622,0.6243466,0.246332,-0.10778323,0.7177475,0.17062786,-0.10653797
696,69600,80.48709614393657,0.97087157,0.30485412,-0.10874586,0.8032232,0.12377062,-0.105767205
737,73700,172.6790965994674,0.92307186,-0.044518907,-0.102999,0.8258993,-0.107001,-0.10197123
778,77800,170.9882505074003,0.5951373,0.020407237,-0.104066975,0.735084,-0.0062827016,-0.10362795
819,81900,152.51110348519873,0.59564,0.08287422,-0.1050945,0.6957161,0.08539847,-0.10513602
860,86000,158.02868255835602,0.512707,0.21094678,-0.107201174,0.7036874,0.17842598,-0.10666624
901,90100,158.46479247751142,0.80319136,0.28953263,-0.108493835,0.6941769,0.18644704,-0.10679818
942,94200,169.91952175302512,0.93840224,0.38356853,-0.11004064,0.7188761,0.15497655,-0.10628051
983,98300,156.14125615794634,0.98504186,-0.26653704,-0.09934701,0.7977234,-0.10782483,-0.10195768
1024,102400,174.3352971389109,0.8597225,0.36961225,-0.109811075,0.76997745,0.019403324,-0.104050465
1064,106400,163.21408229169842,0.9565281,0.35728785,-0.109608345,0.8433178,0.3406902,-0.10933533
1105,110500,182.17862345318548,0.9571902,0.13786593,-0.10599906,0.9456148,0.14433959,-0.10610555
1146,114600,166.9214473736165,0.6927725,0.029246867,-0.10421238,0.7192186,-0.06037591,-0.102738164
1187,118700,181.7668253223452,0.9681101,0.050241135,-0.104557715,0.96539533,-0.010562859,-0.10355755
1228,122800,202.63919886719438,0.87806696,0.32658502,-0.109103315,0.833047,0.24706179,-0.10779523
1269,126900,216.23928881662684,0.6541655,0.1216537,-0.10573239,0.67097116,0.056619845,-0.10466264
1310,131000,223.51966167787504,0.91538185,0.24571787,-0.107773125,0.89452225,0.22904366,-0.107498854
1351,135100,210.1107922141954,0.9475295,0.25772688,-0.10797066,0.795891,0.30825695,-0.108801834
1392,139200,242.28405602982795,0.9831485,0.18660367,-0.10680075,0.90583026,0.19043662,-0.106863804
1433,143300,208.5378424233374,0.78370845,-0.25705126,-0.09950304,0.79963493,-0.3457505,-0.09804402
1474,147400,243.2281290323301,0.9751781,0.30312148,-0.10871736,0.8643295,0.21276136,-0.10723102
