Distribution; Statistics; p-value; Parameters
alpha;0.021739075086213477;0.00015710431735295376;(42.58233494908963, -59.55343942518604, 8315.172362705998)
argus;0.3399612145060087;0.0;(0.00019875128744129732, 117.22023103264462, 37.50685204104525)
beta;0.0052862314261110654;0.9426422223379636;(838416988.2252959, 418.2779808771901, -187191982.70327616, 187192211.9565553)
betaprime;0.015274460772846499;0.018816207298235847;(2473.6495925604013, 2679.8497558777817, -28.27792309739946, 177.7566562857292)
burr;0.0735000961358388;2.3853930503064634e-47;(65.6615802196529, 65447.71727475383, -174.69179017312638, 260.3243536164897)
burr12;0.014466045495391322;0.03043427651867004;(46.74982111697538, 1.5341691265699198, -2.525659225750414, 140.20589943416164)
cauchy;0.07573167268421066;3.054686226892329e-50;(135.9654688222844, 2.788996325675382)
chi2;0.023691890506854385;2.66434734717433e-05;(232.6697900810833, 85.98362765273377, 0.21429912020141784)
cosine;0.12298058674398771;8.583872378636622e-132;(135.981505081876, 5.961149138995792)
crystalball;0.010407468657715024;0.22885490976805048;(4512.065060136179, 16769.026775532246, 135.86497063787056, 4.566328652068162)
dgamma;0.02602712126144288;2.612837813063013e-06;(1.3851441161743332, 135.9567773404361, 2.6279326447362292)
dweibull;0.019573909321509597;0.00094001818036118;(1.2685620211785464, 135.95669595490614, 3.9086879742388794)
erlang;0.015853372482146355;0.013122309486230756;(836.1590995560396, 3.2041624342284543, 0.15863820117659966)
exponnorm;0.010414512774690632;0.22818757258698077;(0.029735755105633428, 135.72916838099144, 4.564240882642858)
f;0.017318793994250847;0.004963394769476133;(11049.1674509439, 18659.966384420004, -141.96972799391756, 277.8067518480951)
fatiguelife;0.011723423404381317;0.1279791137973211;(0.014920519772948164, -170.56536934518527, 306.4112226662844)
fisk;0.02100313753193994;0.0002947188982627774;(52.17746426469235, -0.3970884553549642, 136.26965123303893)
foldcauchy;0.07891147898330864;1.6360943302170087e-54;(48.69994693579332, 0.09828468223278727, 2.7898856654664446)
frechet_l;0.812110607309429;0.0;(0.3066400424975985, 154.69827954941607, 1.463863489381897)
gamma;0.015261882426397366;0.018961308410684684;(878.294838539555, -0.013573662516630502, 0.1546970729079855)
gausshyper;0.007548927912576886;0.6189362847459492;(41.5900995277384, 20.96273265282529, 41.55822767073396, 0.4595161067309712, 92.00769301504198, 72.02513918827009)
genextreme;0.8054667300100798;0.0;(2.68447924253202, 152.5316068888174, 5.816387782738662)
genlogistic;0.019204019036379805;0.0012523421477623482;(0.9643033762788018, 136.05204605972966, 2.5742332631278373)
gennorm;0.010033682285439216;0.2664066016211143;(1.9738203710108668, 135.8668927279096, 6.413260300490519)
gumbel_l;0.05581594532855655;1.7411566486555697e-27;(138.12831288845535, 4.469071219883955)
gumbel_r;0.07096603516454686;3.608630483026138e-44;(133.56169773417426, 4.678884838581011)
hypsecant;0.026791044389741447;1.1658571279697226e-06;(135.92379850435958, 3.121765525962175)
invgamma;0.028842608010814286;1.1892490936470481e-07;(241.12371780806416, 64.05824518201217, 17234.46551244767)
invgauss;0.06165170568235584;1.9344034386089653e-33;(0.04288768012774967, 111.30739417530003, 571.6326483143371)
invweibull;0.07788388490209086;4.1048391589772905e-53;(28.278919848045803, -0.3923486122021641, 133.8719551619056)
