Distribution; Statistics; p-value; Parameters
alpha;0.02220260625257442;0.00010453722733303025;(28.070811715574827, -154.3542917349602, 8166.669665896441)
argus;0.3174154683948428;0.0;(0.002071014791411631, 96.6396567708228, 80.88363855474333)
beta;0.005720765679898598;0.8989593723123971;(63.466446256699484, 50.711398102433016, 13.027760138203359, 223.1733520332722)
betaprime;0.01914070117221406;0.0013146541562344199;(384.6340333656864, 355.67480282702286, -4.342630681627238, 130.37524019606315)
burr;0.01871903587041912;0.0018091486589245152;(25.357738394651243, 0.7899140180544412, -0.6658645227626858, 139.6771135774717)
burr12;0.019160562732409236;0.0012948037960341585;(19.92875400641507, 1.7359305517291914, -1.198768383541448, 143.55656094567547)
cauchy;0.07604945571741561;1.1641690048723792e-50;(137.12753533563705, 6.36775568239205)
chi2;0.028331206334881953;2.134212622816226e-07;(105.05569074896718, 59.43713105993703, 0.7377945336301943)
cosine;0.10215798029916542;4.496646365940453e-91;(137.10721057987746, 12.872414915472929)
crystalball;0.006019802384658046;0.8616498800558193;(79.72198067786003, 182.68634544023553, 137.0800217358271, 10.332308098303411)
dgamma;0.02227235687964968;9.824851332026521e-05;(1.3795983598200459, 137.0877243879399, 5.992833490051966)
dweibull;0.01503500364218735;0.021755671495991193;(1.272735126128349, 137.08772766047167, 8.878591208596802)
erlang;0.008367367395689662;0.48568591215829937;(3099.4351622285567, -438.4568785158745, 0.1856872777898055)
exponnorm;0.005995980753032093;0.8648145286442759;(0.02959189724279515, 136.77508230464312, 10.327935489053615)
f;0.007758891565777359;0.5838205263069111;(115529.90053703345, 30076.347233896486, -994.7374462021401, 1131.7350544494943)
fatiguelife;0.00837278085928661;0.4848463245595666;(0.013681525243000231, -618.4127233389145, 755.4190517620618)
fisk;0.020762456239809657;0.0003603464595597965;(23.107022814468777, -0.37502585599301497, 137.30086611425497)
foldcauchy;0.08306668344718027;2.3321131360709986e-60;(21.506282347019162, -0.05499737064882875, 6.378754817076173)
frechet_l;0.018704085966028683;0.0018295057022085636;(4.349882376731599, 177.90078125298453, 44.76661596278059)
gamma;0.007755303659592427;0.5844169420484002;(3112.290286343383, -439.65770830556835, 0.1853114770332832)
gausshyper;0.1896532236273114;7.6551348361e-313;(1.4818917431082084, 2.1091882661429215, 3.1035785778256777, -0.4233252410050034, 96.69065769221352, 80.84064912914343)
genextreme;0.8241069962004021;0.0;(3.7333589523930293, 175.54457490527747, 7.377986598152855)
genlogistic;0.018838818825975268;0.00165347736436644;(1.0873616619880284, 136.33668350265856, 6.092534854356908)
gennorm;0.004658363177231228;0.9817265385057652;(2.055284525072477, 137.07741455841136, 14.814893496637456)
gumbel_l;0.05856434949419892;3.238270324549838e-30;(142.22871176155272, 10.174327860321956)
gumbel_r;0.06422284520993915;2.9883864447379887e-36;(131.89930346308248, 10.421155375662536)
hypsecant;0.026083819196014657;2.4629141471737382e-06;(137.11126301191172, 7.094420184001522)
invgamma;0.01576173254130664;0.013905130453259355;(508.4162246334605, -96.91299720261111, 118725.20808995384)
invgauss;0.06348685206285809;1.9581844409666054e-35;(0.0713384436029178, 93.04124967584394, 617.0471334334052)
invweibull;0.08511476946855501;2.376261383830842e-63;(12.280641308862574, -0.36438811607633737, 131.8497923291966)
johnsonsb;0.00572190579413584;0.8988276492363643;(-1.0594495995491084, 6.089303044017506, -1.5311278114207099, 255.22193488043087)
johnsonsu;0.00643818865721274;0.8015190945269419;(19.620272428927763, 36.97936321979232, 322.69567987233586, 333.8255435532046)
kstwobign;0.0976454046474774;3.0502053727300995e-83;(89.71274086043778, 54.98816697464075)
laplace;0.04568967554860276;1.4751354553649158e-18;(137.11999178330325, 8.26769782466764)
loggamma;0.006462679537889093;0.7977688080191534;(436.4437681029433, -1175.6375913969928, 215.99477189610047)
logistic;0.017877656363420202;0.003349096184874268;(137.1067180487899, 5.922373835234416)
loglaplace;0.04688932065262669;1.6001479954909023e-19;(16.560361722360557, -0.41382629666046455, 137.5341870370234)
lognorm;0.007578948009947406;0.6138931647717232;(0.014937424309526645, -553.5987620327032, 690.6326668672466)
mielke;0.018696610348317072;0.0018397647099697607;(20.03632212055511, 25.3617905249055, -0.6885993568913685, 139.6973281591688)
moyal;0.10517795176565203;1.6376877781495031e-96;(129.74807920730902, 7.401039449121944)
ncf;0.1452072258254904;1.4382837460696533e-183;(55.35488210154956, 283.7522084017422, 313.4609677501785, -3.26934730437916, 21.066515712834978)
nct;0.011735420804635632;0.12726131441034907;(339.67612382977785, 15.48957019998964, -1.0626401520200368, 8.8989517875876)
norm;0.006020122697105057;0.861607114754606;(137.080001394271, 10.332342765388313)
norminvgauss;0.018137841958013157;0.0027767362826766496;(2655.5402693450324, 2648.8226134599026, -5.984182359978693, 10.194418130995931)
powerlognorm;0.009302948880441697;0.35228261906746366;(0.9822694655937445, 0.0055669599856294945, -1688.7465499792397, 1825.6125073187677)
