Distribution; Statistics; p-value; Parameters
alpha;0.016546399327040273;0.008374871818325134;(55.21796826203922, -42.59011184758572, 7759.850978958741)
argus;0.17177289972899734;1.0370180767522822e-256;(6.759687647854524e-05, 87.10078228096748, 18.52800845078135)
beta;0.005819024747180768;0.8873004659620181;(20.20071764581978, 14.111584635229953, 79.97000679810267, 30.6190770274048)
betaprime;0.01107000123555335;0.17232166016492795;(21120.005133356637, 23975.443919421523, -171.21940598777866, 305.60147181108255)
burr;0.06957564389195275;1.797355875218672e-42;(38.69381585908391, 28.132940114590525, -0.7475030319979463, 89.41768258397505)
burr12;0.02088337544149127;0.00032582171390771925;(59.98372907001713, 1.5421745006878318, -1.327853907198183, 100.35557418941445)
cauchy;0.07950075235849763;2.5292802697020434e-55;(98.03850480325961, 1.5704985163843148)
chi2;0.026321397532027557;1.920025328238743e-06;(140.19572504217075, 76.42255132780701, 0.1537394982866922)
cosine;0.18389157823071883;3.784499467712318e-294;(97.0821851336921, 3.1772123072770153)
crystalball;0.010792506870489382;0.19449679782224985;(3094.2343656803623, 23523.924498140295, 97.9962828745405, 2.534935470805479)
dgamma;0.02620351114475239;2.17315018336364e-06;(1.4004449588914571, 98.05753619683449, 1.45267869585859)
dweibull;0.016739208068919514;0.007366043135928394;(1.2841233435283823, 98.05122187947737, 2.1889290422323233)
erlang;0.01416333285488236;0.0361941166233018;(700.2438465976038, 30.626006779237784, 0.09619900670160314)
exponnorm;0.010791419669403224;0.19458784767131188;(0.029948584181682454, 97.92040496685325, 2.53382211527805)
f;0.0656242499104299;7.850185705001073e-38;(12929.585721961097, 15106.65620319076, -98.41749370273229, 196.39863615642298)
fatiguelife;0.013401652798848085;0.05508049247357587;(0.009543406459610961, -166.8360243224422, 264.81103696950385)
fisk;0.021891601400246707;0.00013752607028102136;(67.52713922745833, -0.43123696810880513, 98.43356225423801)
foldcauchy;0.08199560405093564;8.005157277410566e-59;(62.60513469879094, -0.30295488138965676, 1.5708205685621959)
frechet_l;0.010110844223918836;0.25830687913971107;(3.4183051485139755, 105.90142067696858, 8.792008970534201)
gamma;0.013413108529943374;0.05474315524222772;(714.1002704490675, 29.996593644443443, 0.09522024056413325)
gausshyper;0.0059155636835107606;0.8752616522599678;(18.918213343070008, 0.3129484111945969, -13.163645308056784, -0.9451641401906972, 80.64544686556144, 27.98325404262797)
genextreme;0.010112471638580228;0.25813801515612417;(0.29253965768206225, 97.10938749717808, 2.572019469818774)
genlogistic;0.022026040628698063;0.00012220847807126566;(0.9967822807218009, 98.02482265077751, 1.4546362606882703)
gennorm;0.007861411206226965;0.5668468434071675;(2.1211747484278733, 97.99169864807035, 3.690026189614483)
gumbel_l;0.05659091483413814;3.0492539346281546e-28;(99.25228195996681, 2.4290148609742177)
gumbel_r;0.06673160464906913;4.18633071757302e-39;(96.71809899852536, 2.5846969455826514)
hypsecant;0.02894911546764578;1.0514993566671387e-07;(98.02286952418203, 1.7450009414595038)
invgamma;0.011880844753840436;0.1188192199601394;(7029.677885401346, -115.06488563600743, 1497524.3342434336)
invgauss;0.057341733018332175;5.510349032685426e-29;(0.06537640162956848, 86.4297736000413, 177.81094329160402)
invweibull;0.07367266477347534;1.4353602382034327e-47;(37.21870205758121, -0.3424495124105652, 97.0263423410877)
johnsonsb;0.005755060816967639;0.8949601755054766;(-0.9435635520513188, 3.2950940596882656, 78.169444799247, 34.81052243486425)
johnsonsu;0.008199902992690022;0.5119871179519777;(16.703611331939115, 18.602429953747475, 131.72388350511602, 32.901859865975695)
kstwobign;0.10334155772883172;3.4694974368022358e-93;(85.8573062278897, 14.151135486800941)
laplace;0.0466804624910081;2.3654123926555587e-19;(98.02751734363378, 2.0342609652963075)
loggamma;0.008033707634365339;0.5386679906729401;(71.05530471155414, 7.3567071304353, 21.29486511524877)
logistic;0.0220121766797039;0.00012370989832022458;(98.01766418560308, 1.456281857241851)
loglaplace;0.04722819436963416;8.45537363277284e-20;(48.32152093332468, -0.38759400651444414, 98.41512597169296)
lognorm;0.010766540299088634;0.19668047501262287;(0.00822273533804601, -210.29367532738604, 308.2853766323459)
mielke;0.020565214808527466;0.00042415397423769283;(63.299957436291265, 71.57805625759465, -2.4142835001501837, 100.68995856684512)
moyal;0.10808417639508683;6.77366924362742e-102;(96.18428596097564, 1.8391315353278181)
ncf;0.18993643947831274;8.9159833377e-314;(3160.698484878205, 7984.315813022491, 218.67902184357615, -97.66916125184372, 182.96397466056203)
nct;0.1615454381347844;4.226573624717439e-227;(339.1845118113637, 30.436507923637436, -1.4683588494931659, 3.2640173915629536)
norm;0.010792607952322175;0.19448833420108783;(97.99628247174826, 2.5349348726763066)
norminvgauss;0.11573546691892145;9.039799564124055e-117;(3223.1140615109234, 3145.5471802314196, -9.035499938870293, 23.924936076241583)
powerlognorm;0.012125964737878636;0.10563340214021327;(1.3582686649932412, 0.007007487623715324, -295.81349969728626, 394.519620219191)
powernorm;0.008429742192358258;0.4760543709814887;(1.7207085313229387, 99.32953985378552, 2.9529927332398413)
skewnorm;0.008468800318412018;0.4700712958703756;(-0.8921757091538486, 99.58602355748704, 2.992187447143089)
t;0.010795940912035284;0.1942094243201457;(140605.790766757, 97.99626942319631, 2.5349082360283366)
triang;0.16584913983737432;2.4405921888292483e-239;(0.6378212128514612, 87.10159506675373, 18.530412314748574)
tukeylambda;0.010688667527473772;0.203343226458646;(0.1482583667799785, 97.98899560407122, 1.7683178133138466)
vonmises_line;0.010672248283812635;0.20477001644200488;(413.51081208646724, 97.99652981730935, 51.551300477016625)
weibull_max;0.010110844223918836;0.25830687913971107;(3.4183051485139755, 105.90142067696858, 8.792008970534201)
