Distribution; Statistics; p-value; Parameters
beta;0.005954791396041326;0.870211696469628;(41.05246169318977, 29.954780635395842, 1.4784448438115998, 191.7797429740137)
johnsonsb;0.005923202212871015;0.8742853194471639;(-1.1693348172537021, 4.741514031372661, -9.391634123606067, 217.13859651676316)
johnsonsu;0.00574942200823933;0.8956229459547714;(17.02564607330575, 24.23564409500669, 276.2433469310098, 214.96437168979207)
loggamma;0.005610904773831221;0.9112476979255749;(168.21304278538406, -628.0494322629357, 144.5465322328081)
powernorm;0.005989837078325039;0.8656256050947247;(1.439995719228257, 116.21301580920576, 12.390546015712106)
skewnorm;0.005922523819668457;0.8743721676337364;(-0.7625613936887585, 118.52594029186022, 12.75368519021552)
