Distribution; Statistics; p-value; Parameters
alpha;0.011819759910446481;0.12230758831578291;(28.71929064502578, -46.36442731805158, 4758.764530911614)
argus;1.713;0.0;(1.1289450953224083e-05, 97.89147940456043, 46.04967331399179)
beta;0.006104612779898044;0.8501350114488502;(36.62223364033238, 54.92735138208112, 74.20786479433485, 113.30570720803857)
betaprime;0.00962755983017971;0.3120782132201056;(3197.871469947233, 622.6879770931052, -12.232891981904213, 25.616241210131026)
burr;0.01948023206797711;0.0010113778721290785;(35.67334160766487, 1.0515943528542833, -0.6166670198099884, 119.78460314878696)
burr12;0.0202873481029347;0.0005322577569290114;(34.111498310837625, 1.2327000512292887, -1.254905441348857, 121.7730215490692)
cauchy;0.07868625823256607;3.327420933249884e-54;(119.42885324398054, 3.567211062827012)
chi2;0.02387375602381281;2.241058080795837e-05;(92.19991441475793, 79.63488950649753, 0.4316721242325373)
cosine;0.1708123698757288;7.48160057560707e-254;(121.28980767461107, 7.21185533798076)
crystalball;0.011877375334212792;0.119015136469946;(34001.10139923634, 36375.9272093874, 119.53310870947143, 5.7700851607843235)
dgamma;0.024664912113672;1.0396819551495034e-05;(1.4036493241539403, 119.55559295498006, 3.2945445123073807)
dweibull;0.015602310308202805;0.015367582631535181;(1.2842348846193006, 119.55556396639952, 4.97629175203304)
erlang;0.0068994712046203666;0.7278989730017889;(503.5682076112384, -9.953730940933573, 0.2571386287568572)
exponnorm;0.009483599427424105;0.32950328443044036;(0.32840229932541065, 117.73264226307177, 5.482504768120853)
f;0.006981603494997046;0.7142955106817253;(1870.646342964127, 7346.257617924053, -37.98971261763516, 157.47992817903608)
fatiguelife;0.006944511642122175;0.7204516408436628;(0.029572817398419805, -75.56589043109162, 195.01372596244988)
fisk;0.018771535630377922;0.0017393151789398176;(36.37714746666551, -0.9003523971700174, 120.32238002794386)
foldcauchy;0.07704590547863499;5.507666307536158e-52;(33.46586210898609, -0.03406792402123576, 3.5696944213641655)
frechet_l;0.014752647028697885;0.02574108723613867;(4.799894931153062, 144.34809073356735, 27.064125756323282)
gamma;0.006899642043494358;0.7278707874782798;(503.564550806513, -9.953200921834938, 0.25713944745623085)
gausshyper;173.8849789876403;0.0;(5.837641821548481, 27.504944483803055, -19.37789538525709, 23.467675814594458, 81.16089093696047, 84.47885931397016)
genextreme;0.014752718823343614;0.025739996705264077;(0.2083390608252519, 117.28396983314283, 5.638515284078244)
genlogistic;0.02013199832846091;0.0006034786147626249;(1.3143609966806729, 118.05022726450593, 3.603660380481206)
gennorm;0.010487429814142968;0.22136576448172487;(2.067535078690616, 119.53844797742292, 8.29751281152419)
gumbel_l;0.06857568924694135;2.8480452434160663e-41;(122.43786891675184, 5.859428544221826)
gumbel_r;0.05316202957797017;5.661827547968781e-25;(116.66993174322943, 5.625888231608123)
hypsecant;0.026363534296142355;1.8366420414479577e-06;(119.47080320881237, 3.9631203032848052)
