Distribution; Statistics; p-value; Parameters
alpha;0.0342559707541899;1.2834701499017115e-10;(22.141136055499743, -137.90628409615016, 5524.900374834502)
argus;0.2499806763285024;0.0;(5.5779075279046684e-05, 68.33343637081252, 81.60728478079385)
beta;0.005954791396041326;0.870211696469628;(41.05246169318977, 29.954780635395842, 1.4784448438115998, 191.7797429740137)
betaprime;0.0317612552136089;3.4586085763588438e-09;(11021.296592124472, 162.97321838996703, -30.009592769603323, 2.090994762617762)
burr;0.021492810927663336;0.0001943847236862194;(20.792953144074147, 0.6673503572167634, -1.165418480507719, 117.12336858659893)
burr12;0.014830981712876057;0.024575259682578857;(14.424767952137, 2.174256046916071, -0.9528597025584574, 121.65872294862238)
cauchy;0.07662806259806376;1.98930906036689e-51;(112.60935181232345, 6.851814580902899)
chi2;0.02205725314224022;0.00011889127439304795;(245.95404988494548, -13.42392148744063, 0.5112915500626755)
cosine;0.1459320879355624;2.1125665861089856e-185;(109.42833203804898, 13.07825960949907)
crystalball;0.008980058630939647;0.39548994506103596;(418.44104457795356, 6055.685563247806, 112.35489947488361, 11.16129837590729)
dgamma;0.03482395927309204;5.855728508992547e-11;(1.3661407395339977, 112.80123211145764, 6.533941954671532)
dweibull;0.018811524339728297;0.0016878128163841852;(1.2637196336602572, 112.46670562741203, 9.565605179896048)
erlang;0.013438563183951646;0.053999952463429694;(1209.4550381664799, -276.53929108750606, 0.32152134538910826)
exponnorm;0.008959939078616252;0.398285720421987;(0.029619382992240987, 112.02513006462829, 11.156402557834365)
f;0.010254518935428003;0.24370985310550392;(37663.14511147635, 426657.71670447814, -1357.733545382598, 1470.075999745658)
fatiguelife;0.0096789510404921;0.3060146707947695;(0.019605086153399093, -454.5414829738269, 566.858489567268)
fisk;0.02004065858376891;0.0006494317885166963;(169319016.23898798, -1082070977.917857, 1082071090.355637)
foldcauchy;0.0856902645486175;3.327310646183048e-64;(16.38924840289326, -0.019934854079982776, 6.87229106681389)
frechet_l;0.8157597326136168;0.0;(0.24533773157527766, 149.93785545641592, 1.3739405065203343)
gamma;0.013410180538529826;0.054829206253183015;(1200.2416395398664, -275.2853719206944, 0.3229475039674574)
gausshyper;0.060293358322754564;5.312640599283813e-32;(11.35121153503362, 0.2571503135112776, -12.748980590031284, -0.8780561871967205, 49.927355932298624, 115.0730479142091)
genextreme;0.8052267554487484;0.0;(3.4620721572576967, 147.6860861668357, 7.79578776202349)
genlogistic;0.01979596092903435;0.0007892288712296967;(1.0044065996988443, 112.39452562229437, 6.407242419183919)
gennorm;0.01076776612883995;0.19657696236972436;(2.0574513734229103, 112.34567383297214, 16.011843273931532)
gumbel_l;0.057146725342566596;8.611947900229863e-29;(117.90047288463285, 10.886474659407263)
gumbel_r;0.06874895637196043;1.7696042758817664e-41;(106.7386173627133, 11.282854826267055)
hypsecant;0.028021454771694182;3.025887028547477e-07;(112.47770018560135, 7.659855552839086)
invgamma;0.02577481877810539;3.3933990125683606e-06;(374.6036765431952, -105.98907644495466, 81536.35064961106)
invgauss;0.22184129038328787;0.0;(0.27509439268766256, 65.37061494050238, 172.0607215525808)
invweibull;0.09408351951649296;2.606547239771838e-77;(9.06913623500774, -0.30664666721946676, 106.43371654573662)
johnsonsb;0.005923202212871015;0.8742853194471639;(-1.1693348172537021, 4.741514031372661, -9.391634123606067, 217.13859651676316)
johnsonsu;0.00574942200823933;0.8956229459547714;(17.02564607330575, 24.23564409500669, 276.2433469310098, 214.96437168979207)
kstwobign;0.09753369780624999;4.717437472722428e-83;(61.79271126958143, 58.606443200238274)
laplace;0.04454114865355829;1.1721214286970573e-17;(112.51872575322433, 8.92305892261652)
loggamma;0.005610904773831221;0.9112476979255749;(168.21304278538406, -628.0494322629357, 144.5465322328081)
logistic;0.019810491966865656;0.0007801965686936602;(112.43772829940305, 6.397354798070467)
loglaplace;0.047645441627278295;3.830850661162795e-20;(12.53312469644218, -0.37306380012266394, 112.8926754319967)
lognorm;0.01457787976136582;0.028520068375987473;(0.018321838932382664, -497.3567375149039, 609.5393901449679)
mielke;0.02149274519522318;0.00019439570885421563;(13.90500083344229, 20.822418605906584, -1.3589130742144637, 117.31141809273193)
moyal;0.10533819652954435;8.341042754279988e-97;(104.38861965799657, 7.97087851722832)
ncf;0.20857202195451563;0.0;(23.513769760050756, 273.4464089060675, 105.12698747706801, -1.6111483270003344, 21.43401157318587)
nct;0.014161390920049033;0.03623395480220805;(339.7882442215224, 11.048774751074312, -1.573933087716582, 10.288968487392246)
norm;0.008980055477714022;0.39549038229339745;(112.35489988676598, 11.161299364439946)
norminvgauss;0.028006540725070805;3.076880822335905e-07;(1316.5783024535854, 1312.4741430815843, -3.0149882959930854, 9.130875660065653)
powerlognorm;0.4565608236699836;0.0;(0.002015408357554209, 0.10189709094205916, 67.79422236391898, 1.7819513296265541)
powernorm;0.005989837078325039;0.8656256050947247;(1.439995719228257, 116.21301580920576, 12.390546015712106)
skewnorm;0.005922523819668457;0.8743721676337364;(-0.7625613936887585, 118.52594029186022, 12.75368519021552)
t;0.008975225812070275;0.3961604170962094;(757598.8715639259, 112.35500973430487, 11.16119459556164)
triang;0.1342162936550661;6.812349926209221e-157;(0.5637940043137535, 68.34678297662384, 81.60494784384733)
tukeylambda;0.009784656642409184;0.29380218122536994;(0.1476750812294852, 112.34250212166313, 7.77200059255904)
vonmises_line;0.008866690780378661;0.41139773678369806;(267.089951917839, 112.35699212361015, 182.25619932920836)
weibull_max;0.8157597326136168;0.0;(0.24533773157527766, 149.93785545641592, 1.3739405065203343)
