Distribution; Statistics; p-value; Parameters
alpha;0.03671085710130706;3.937034261006352e-12;(22.3091305429797, -159.5591521126358, 5384.794816782436)
argus;0.26635714285714285;0.0;(3.107628220048335e-05, 29.481716073213462, 91.78089772441518)
beta;0.004876171975742305;0.9713171311380597;(165.8133475073211, 55.878374626270556, -191.64541137046777, 366.3915728479187)
betaprime;0.047853567595532276;2.5742813506497363e-20;(197.6873065937349, 81.09034324545541, -0.8766577851126653, 33.71390801234502)
burr;0.02083009975427641;0.0003406299246691042;(17.655638239440485, 0.5376059505597264, -0.4815836895609823, 88.06536173522349)
burr12;0.012370268907931636;0.0937215790613962;(10.282071858092937, 3.166878493821466, 0.5199822509001004, 94.42675514071877)
cauchy;0.07849652700411025;6.041468841726727e-54;(82.7983887889537, 6.515849106738321)
chi2;0.032374324213509775;1.5753471361192309e-09;(221.02574389988956, -31.378864231485025, 0.5141935065576355)
cosine;0.1630375199293513;2.626482682229979e-231;(79.48259234740786, 13.33060225043618)
crystalball;0.014837185541512199;0.02448496189226436;(379.6970378902261, 92395.86964702586, 82.39555469227862, 10.660505959177518)
dgamma;0.03743672134889653;1.3417922085165372e-12;(1.3556237151281998, 83.02506321936085, 6.274501204958864)
dweibull;0.01847091833800857;0.0021758208013175294;(1.2558457523713933, 82.61661301460745, 9.102322995201899)
erlang;0.0222983492790364;9.599826583885147e-05;(498.7144383784421, -156.89159015536654, 0.47973151508491685)
exponnorm;0.014842010241952697;0.024414940974038638;(0.029846593084469117, 82.0774795793979, 10.655708231989497)
f;0.016791430696822096;0.00711254067074037;(286995.0912445086, 127168.46803982632, -2163.4386897400877, 2245.777285626251)
fatiguelife;0.014729463702519818;0.026095378220677264;(0.012494955014986785, -771.5710289513372, 853.9698078069757)
fisk;0.026947485119909187;9.85425898270303e-07;(13.361103856181042, -0.40826556359847344, 82.6364355524656)
foldcauchy;0.09010288441229253;6.086621676259328e-71;(12.654274011256724, -0.06478204304510568, 6.548670012507717)
frechet_l;0.8228405247815757;0.0;(0.25307916347597237, 121.25900296114199, 1.5914125396143286)
gamma;0.02223985337952239;0.00010113296858900899;(512.6462957173358, -160.88416377077908, 0.4744841698385811)
gausshyper;0.15409549787676757;1.124374655753597e-206;(3.772411817890175, 2.1869811000529245, -0.9023214803344328, -0.9999999999388236, 29.906183809846638, 91.39247011717401)
