Distribution; Statistics; p-value; Parameters
beta;0.006176022434459361;0.8401529982370262;(25.85211588744654, 19.78043592723965, 60.705674324971696, 81.10346618413517)
johnsonsb;0.006164711425088232;0.8417508888830595;(-0.8085073686245126, 3.8098309673413127, 55.777991082501714, 92.16750080659003)
johnsonsu;0.012420259768189723;0.09142782308301037;(-67648658.45014946, 149913622.32046592, -372609791.65201503, 798354953.2531219)
loggamma;0.009022301489981732;0.38965885274658096;(153.89285107986854, -260.2238175444579, 72.894207025778)
powernorm;0.009702155501567167;0.3033038824114674;(1.4381718227267175, 108.68022664721558, 6.531464858596973)
skewnorm;0.012144733942618724;0.1046757806841982;(4.3881035638464025e-05, 106.65281461132827, 5.885388567959918)
