Distribution; Statistics; p-value; Parameters
alpha;0.028526498166712044;1.7091922293484192e-07;(22.462259303419586, -240.0790254733762, 7318.075394385058)
argus;0.2534714752730055;0.0;(0.00041605270326470643, 26.340961048132343, 111.01274800584343)
beta;0.005150864654622445;0.9534674774584091;(32.27584937944378, 30.263151388029573, -32.91455440950203, 231.4404837505279)
betaprime;0.043572027125501345;6.466679778163802e-17;(62.89198082388387, 88.95526195035356, -1.872735838014436, 123.2943653983912)
burr;0.022785901212653725;6.184998504649049e-05;(13.477509778473276, 0.5432427466188914, -0.8258143806408746, 94.12423717080333)
burr12;0.014282494758758979;0.03382176373096241;(7.9754729772158885, 3.095454584894951, -0.37448938838067336, 103.7555487245682)
cauchy;0.07583314487253856;2.2458512046384134e-50;(86.67910216755101, 8.995574745135112)
chi2;0.03572165382483716;1.6501268501964163e-11;(48.33861431764424, 10.182904671694175, 1.5770098723961419)
cosine;0.07920310932729091;6.505687231342957e-55;(86.83230926956612, 16.094017293718718)
crystalball;0.006658686222500099;0.7670385902626541;(111.98380659609164, 118316.80893556634, 86.52999816504813, 14.509926783500447)
dgamma;0.02402653785322517;1.9359191396664758e-05;(1.4053610394201907, 86.45872874697126, 8.284915725538333)
dweibull;0.016683984988989486;0.007643039019259984;(1.2867713573430892, 86.45872065115199, 12.533048859548572)
erlang;0.007853535924856048;0.5681457557550473;(13842.70915054546, -1620.8927973899108, 0.12334433013900786)
exponnorm;0.006654469531478302;0.7677117987770008;(0.029201612534692, 86.10672440529225, 14.503865531373494)
f;0.029224779909482468;7.629884513668153e-08;(67.27901528857844, 2446.4623637418886, 1.602873780185379, 84.86087605374465)
fatiguelife;0.037546666082226565;1.1378330482787542e-12;(0.12599375050100697, -29.715031291596297, 115.08613564926216)
fisk;0.018795359776002774;0.0017084584568888095;(6111384.919636581, -50934858.08128175, 50934944.651381984)
foldcauchy;0.09084406221966179;4.163687353562258e-72;(9.558097405294687, -0.03854384464067086, 9.073713052020643)
frechet_l;0.8194527512132155;0.0;(0.2358366320431462, 137.3496902465159, 1.6734859487815297)
gamma;0.00785410301405387;0.5680521935640714;(13754.17172295065, -1615.4432065759343, 0.12374210716913489)
gausshyper;0.005133811929933119;0.9547354021246471;(32.975445552311854, 29.866286661203322, -35.267332599575084, -0.03983262740247544, -33.89180676540609, 231.9688588649811)
genextreme;0.853691152693407;0.0;(7.497213009518943, 137.24949551620261, 0.7511812355898331)
genlogistic;0.01833536903914157;0.002404128100798024;(1.0935620511799358, 85.41090613001265, 8.585140163663013)
gennorm;0.0060547744815420135;0.8569478804549895;(2.0963124526863757, 86.52190372019362, 21.004823813700593)
gumbel_l;0.05986353840399218;1.4924520798267704e-31;(93.77237414999543, 14.357880522174604)
gumbel_r;0.06135760367156501;3.988218671731418e-33;(79.26208419624784, 14.438074560069488)
hypsecant;0.027738996223130363;4.146251206153953e-07;(86.59625437239214, 9.983537198132442)
invgamma;0.02803571537778593;2.977893277456165e-07;(251.44267148574136, -145.7478963397475, 58123.599251367006)
invgauss;0.06319103550581845;4.1432730588160165e-35;(0.07197704545064587, 21.828685608520047, 902.1693841189749)
invweibull;0.11238873576766628;3.8688173298657165e-110;(5.008524322872158, -0.24625704853649347, 78.1054897943153)
johnsonsb;0.005115591274118203;0.9560665271799837;(-0.23358799359255555, 4.510304477704919, -49.41661567414583, 265.1118951292329)
johnsonsu;0.005958234832586562;0.8697641723038417;(72.80860786251137, 101.78078256376469, 993.2638703098814, 1165.5048060401627)
kstwobign;0.09282884593741542;2.8381044826870994e-75;(23.51759436712092, 72.78658448727907)
laplace;0.04848509219555691;7.624378638969955e-21;(86.7019517667112, 11.641907488265518)
loggamma;0.005611704944271628;0.9111611349449253;(586.429367718523, -2155.0905612278866, 351.72669409145954)
logistic;0.018931584252118328;0.0015415752961581962;(86.57052444508568, 8.329041934703199)
loglaplace;0.051725763112992595;1.1520153962612275e-23;(7.3033128038732675, -0.2291638848340678, 86.93305790625547)
lognorm;0.7307778570170297;0.0;(3.5113474631720365, 36.32631790489731, 1.9226202033065656)
mielke;0.022779450805862078;6.221462857524342e-05;(7.357679468386255, 13.511492117533614, -1.1467911750982127, 94.42026668168486)
moyal;0.09875248606172538;3.9424801999217653e-85;(76.24052960430195, 10.119047082308684)
ncf;0.18467468703238354;1.1776655089178277e-296;(15.575878779863544, 754.2253311939226, 0.08446064706563502, -1.2041041962156012, 88.86655147638987)
nct;0.010005258783076676;0.2694363839930967;(339.8871333563927, 5.9766974320308925, 1.9705204794445454, 14.11721259949384)
norm;0.006658685849660895;0.7670386498089445;(86.52999815546555, 14.509927032242981)
norminvgauss;0.031131654435666678;7.63554913505844e-09;(86.46801383018229, 71.29394408124924, -0.9486265208314162, 59.96101290912972)
powerlognorm;0.49114736349525445;0.0;(0.001923495815622993, 0.10426211292564352, 17.98357514292787, 2.369561539681473)
powernorm;0.006012384291808115;0.86263870709684;(1.0657295207418818, 87.3718644162836, 14.785752127290234)
skewnorm;0.005989137127137223;0.8657178777676071;(-0.4056595543911355, 91.09205237531147, 15.210202415293729)
t;0.006660642988102761;0.7667260227881852;(15579.712007773178, 86.52998873412595, 14.509026768311216)
triang;0.10643930534558799;7.866057138316837e-99;(0.4977650409067932, 36.30836222660308, 101.05850468718977)
tukeylambda;0.0064144752815273876;0.8051293345282597;(0.15303911761334188, 86.52938346900103, 10.18207321002342)
vonmises_line;0.006740551520984961;0.7538772382387736;(184.33860032471114, 86.52713538389747, 196.85040026617241)
weibull_max;0.8194527512132155;0.0;(0.2358366320431462, 137.3496902465159, 1.6734859487815297)
