Distribution; Statistics; p-value; Parameters
beta;0.0031718334077154298;0.9999626645959493;(33.326049221336305, 26.218409279629636, 46.19475857383554, 162.37438565138655)
johnsonsb;0.0031259504138612115;0.9999736390711972;(-0.8289072491835886, 4.373178654111966, 35.88031786503217, 185.11504232673246)
johnsonsu;0.004461839709878457;0.9885646095330175;(17.745189759067358, 27.500037785141814, 299.0358815450521, 234.2337203388118)
loggamma;0.004303496771222659;0.9925483809209829;(240.5623985716312, -742.6631952557096, 160.5094595705146)
powernorm;0.004740267086973615;0.9781809475086997;(1.34534482403348, 139.96126916819634, 11.285353864001754)
skewnorm;0.0047815509387381105;0.9762279405838551;(-0.7025228734986833, 142.42062643551844, 11.658114285253667)
