Distribution; Statistics; p-value; Parameters
alpha;0.02628774274077461;1.9892334637234075e-06;(27.475043701474682, -149.3427658551035, 7855.487153436414)
argus;0.24786868880281987;0.0;(0.0003860941617173592, 99.48107249384682, 71.21842175541605)
beta;0.0031718334077154298;0.9999626645959493;(33.326049221336305, 26.218409279629636, 46.19475857383554, 162.37438565138655)
betaprime;0.02241224090477234;8.670286177724653e-05;(325.1820295960872, 446.0397854726874, -5.014318519511016, 194.41520041133754)
burr;0.07488099419392363;3.9612154415588136e-49;(15.9718161717459, 5.817936812190485, -0.43317994364947454, 119.22177030098084)
burr12;0.016305442107243717;0.009811483596541645;(19.59751172726162, 1.852727302342026, -1.1817819151132911, 144.26584544902192)
cauchy;0.07593815873882659;1.632843179777912e-50;(137.26475962729086, 6.38849403213532)
chi2;0.04656561562626932;2.9303819543452745e-19;(55.49410252923572, 79.36657709533063, 1.033714627537012)
cosine;0.11290649285706078;3.753054032764567e-111;(135.26497556311205, 11.386342919980068)
crystalball;0.008009445045172425;0.5426064491956886;(101470.67834910989, 1534.0310149716788, 137.07303703466397, 10.359321352088148)
dgamma;0.028749724834994494;1.3235390796610617e-07;(1.3958954434312674, 137.36188544967064, 5.94420790628053)
dweibull;0.016179888028467343;0.01064538831671359;(1.2806604870908034, 137.1637518413858, 8.923708271206948)
erlang;0.01121576168987315;0.16150058121806077;(1606.4687268534444, -278.31128112557724, 0.25856807738034804)
exponnorm;0.008011596034970037;0.5422568692796177;(0.02934417103994609, 136.76920041146315, 10.354876409764636)
f;0.010093436262748168;0.26011823956142466;(129409.32891760397, 38616.93184376111, -1127.5296857430649, 1264.5277817142528)
fatiguelife;0.014148384861650931;0.03650176064500725;(0.019298119125945465, -398.7164993595409, 535.6270995055593)
fisk;0.020681122201105295;0.00038547696150171217;(23.028596020221322, -0.4017518550406085, 137.35642318853795)
foldcauchy;0.08295896192358476;3.3349760283040724e-60;(21.456360202126625, -0.045191164315159064, 6.399547621243997)
frechet_l;0.8054156516240178;0.0;(0.2606747865704869, 170.6966196705048, 1.5024301546575023)
gamma;0.011791569664607704;0.12394549893211317;(1550.192238379956, -271.088171209747, 0.26328626855375414)
gausshyper;0.18850332828333605;4.58067074289394e-309;(1.8370406011571851, 2.1530803745636415, 0.28804370776761395, -0.9623453471714811, 99.505850648843, 71.20315752109329)
genextreme;0.013882139993285192;0.042377464801591935;(0.2680333410104949, 133.32613428908044, 10.419382710498693)
genlogistic;0.018725707446784368;0.0018001321361171955;(1.0267544301651725, 136.89512481019176, 5.994814585143077)
gennorm;0.0076128450672843795;0.6082062567494226;(2.072950209417641, 137.06421355089753, 14.915928650986103)
gumbel_l;0.0570778143599352;1.008023963065197e-28;(142.22588418751383, 10.124144484513153)
gumbel_r;0.06555670776297229;9.372145635386698e-38;(131.86472220081473, 10.423024198654577)
hypsecant;0.026543171966161294;1.518705273339402e-06;(137.1666777263953, 7.115718522106759)
invgamma;0.030692203758852843;1.3146894696804831e-08;(183.31938047068576, -5.975405558043678, 26058.632038803407)
invgauss;0.038359731155467314;3.3114094123253814e-13;(0.028886462676135066, 71.95105755171062, 2258.7408617362535)
invweibull;0.0854511512896673;7.542909610624219e-64;(12.342637212146876, -0.3640629252609913, 131.8076705213116)
johnsonsb;0.0031259504138612115;0.9999736390711972;(-0.8289072491835886, 4.373178654111966, 35.88031786503217, 185.11504232673246)
johnsonsu;0.004461839709878457;0.9885646095330175;(17.745189759067358, 27.500037785141814, 299.0358815450521, 234.2337203388118)
kstwobign;0.0953635573962856;2.0405266608017435e-79;(91.29460542363836, 52.92386826852808)
laplace;0.04500076738512859;5.1464005575045915e-18;(137.19378596502244, 8.296437169845152)
loggamma;0.004303496771222659;0.9925483809209829;(240.5623985716312, -742.6631952557096, 160.5094595705146)
logistic;0.01865275120964438;0.0019010377188740978;(137.13687271604817, 5.940110260284753)
loglaplace;0.04742189708648881;5.85984161349689e-20;(16.495439051824775, -0.41385413482946226, 137.60843571049242)
lognorm;0.010228017116861388;0.24635523630714096;(0.009743044126960407, -923.2621553004403, 1060.2790018602554)
mielke;0.019938166143770614;0.0007048946471285655;(19.338907568930424, 25.89894183059311, -0.689718911933038, 140.2132630689027)
moyal;0.10402846043497704;2.0091953380080833e-94;(129.68544847884758, 7.335165450826784)
ncf;0.22113026662612834;0.0;(17.517908615398078, 169.0428933766001, 258.5974862053011, -2.266234661825144, 8.971658844871964)
nct;0.014360653555584357;0.032340839757122423;(322.50026974355274, 15.383287682473446, -1.5573617888337368, 8.991375837961595)
norm;0.008009448222797477;0.5426059327071531;(137.07303693691406, 10.359321389939378)
norminvgauss;0.021651379608225163;0.00016952712774948692;(2091.024029258361, 2082.7847162573016, -4.812004677417436, 12.632915085645045)
powerlognorm;0.0034007339240871293;0.9998283429282158;(22.884002688871497, 0.2850340058511645, 64.26799257229591, 124.7834802140109)
powernorm;0.004740267086973615;0.9781809475086997;(1.34534482403348, 139.96126916819634, 11.285353864001754)
skewnorm;0.0047815509387381105;0.9762279405838551;(-0.7025228734986833, 142.42062643551844, 11.658114285253667)
t;0.008346236835773846;0.48896967578957096;(4340.502205273859, 137.0640226152948, 10.358212287829268)
triang;0.11233666871414222;4.888886921131764e-110;(0.5477662365109583, 99.50124954547644, 71.2089114306157)
tukeylambda;0.008011498692070629;0.5422726877554074;(0.15230441628828517, 137.06108334480479, 7.259781820406465)
vonmises_line;0.008734542045581217;0.430406273692256;(89.20163958351958, 137.0578499418732, 97.55765800254648)
weibull_max;0.8054156516240178;0.0;(0.2606747865704869, 170.6966196705048, 1.5024301546575023)
