Distribution; Statistics; p-value; Parameters
alpha;0.03756305543781191;1.110161632963586e-12;(23.57437018361329, -246.751761305748, 7921.516616786526)
argus;0.23623642339981343;0.0;(0.000334989522128453, 35.60110925083549, 100.26738272654092)
beta;0.006663293849954066;0.7663024181195812;(53.29530101363818, 20.498135984919337, -104.13113165416529, 268.90855947986955)
betaprime;0.02671322952312949;1.2670927554950035e-06;(40098.635773531714, 284.7019678934537, -156.04061979473158, 1.7426448294462684)
burr;0.08405008819962245;8.715267902629742e-62;(75.35098344872051, 339951.8529204936, -1015.5979985232216, 927.3705805601539)
burr12;0.014681587937516893;0.026840704371183837;(8.262013727458758, 5.177117423732026, -0.7081301564289468, 115.83658648394614)
cauchy;0.08197608198482009;8.534419292580833e-59;(90.73139632021416, 8.574350326263882)
chi2;0.03204930465777467;2.394691557529916e-09;(146.93896338374236, -30.874859218459463, 0.8228763991470922)
cosine;0.15216504983155554;1.5352650967096963e-201;(86.17085735090741, 16.090317322472636)
crystalball;0.01620715383403737;0.010459028832898573;(408.6208812213933, 52024.77791802386, 90.08073780994084, 13.926641724210281)
dgamma;0.025244949574150022;5.827034206546732e-06;(1.406945804933831, 90.56788915758888, 7.916110097433215)
dweibull;0.018947968935492665;0.001522558165012683;(1.2813096922451557, 90.56759982828763, 11.984201481750457)
erlang;0.025018504583177892;7.316604154074781e-06;(364.85593654807155, -177.75533243376793, 0.7338667195679753)
exponnorm;0.016199091800160548;0.01051382240814675;(0.029589363997125168, 89.66929019089102, 13.92018770896068)
f;0.014296420167937085;0.03355363304615833;(75731.95260719486, 866701.599428785, -2514.1587012172413, 2604.324098301123)
fatiguelife;0.021262287412207814;0.00023673950900416287;(0.036351737117002014, -296.1974890338074, 386.0836178679675)
fisk;0.03416652422967559;1.4505902633342834e-10;(11.069159703890264, -0.3222420850295229, 90.17428053585306)
foldcauchy;0.0957505367257111;4.648985179663042e-80;(10.516586942057128, -0.0783744935114651, 8.636115380858568)
frechet_l;0.020379410385136243;0.0004938591650713972;(3.561487576684943, 135.7780648590268, 50.697081385468906)
gamma;0.02444209137000941;1.294023083423769e-05;(382.5160982528689, -184.62815632074444, 0.7179842188537187)
gausshyper;0.02120543020746235;0.000248452662107027;(6.538044720467841, 3.1199339680390965, -2.490175593316812, -0.9999999999920453, 35.03409605394211, 102.09199419923891)
genextreme;0.8417920086973303;0.0;(5.911612186792762, 135.1852498914637, 2.0584491858778144)
genlogistic;0.019392837940838903;0.001082484856468066;(0.8236056622368003, 92.66321801402952, 7.403084798660069)
gennorm;0.016295939214389432;0.009872465717839406;(2.023939773518626, 90.06882056309797, 19.815764977928097)
gumbel_l;0.048146330974754736;1.4673606544424383e-20;(96.90801585391026, 13.079213693264004)
gumbel_r;0.07992233610484867;6.595029235233466e-56;(82.98359352700399, 14.621679415158109)
hypsecant;0.027039590005125014;8.921412433443014e-07;(90.45689600446275, 9.5460724205542)
invgamma;0.03284326074785504;8.545480780013404e-10;(310.04790552252473, -160.30349153773705, 77351.54481314323)
invgauss;0.08318802897140926;1.5578232234481093e-60;(0.04151647915353192, 17.14111554154814, 1731.4540143686438)
invweibull;0.08223404331968065;3.6579762347011076e-59;(72020169.66356361, -1061449693.7014008, 1061449776.7313209)
johnsonsb;0.006805168699731523;0.7433764297812947;(-3.0396924078930474, 4.276113569218703, -91.49185139058977, 271.581824174144)
johnsonsu;0.007891951019832144;0.5618181647485809;(13.090154185981326, 10.612516809364894, 214.53165045651156, 78.86863872272363)
kstwobign;0.11372506673281915;9.183851051665957e-113;(24.50552845646068, 76.01650538297292)
laplace;0.046203210804420136;5.740407349889211e-19;(90.57836615484337, 11.13754125880811)
loggamma;0.0076218890610686985;0.6066904257612482;(18.11301082140638, -77.65125112579439, 58.46821604359418)
logistic;0.021534463351829847;0.00018754062741721864;(90.36175398084396, 7.967694217681681)
loglaplace;0.048197874419811604;1.3286283160005597e-20;(7.92488544748989, -0.2586061655196628, 90.83860348004075)
lognorm;0.018722231594853422;0.0018048244708337444;(0.018719298104869032, -656.1710623821155, 746.1569882399142)
mielke;0.02410976953510069;1.7868475193645618e-05;(7.21174338467188, 16.090225588303838, 0.37959937088050055, 98.29738226955087)
moyal;0.12279603168650999;2.1265190704972615e-131;(79.94982867425901, 10.46650299744605)
ncf;0.04195697536900944;1.0244623446418197e-15;(155.09870892310505, 187.2629495184504, 93.8522118172467, -8.289852781553794, 60.667240063092116)
nct;0.01964099017489529;0.0008918409749023192;(339.8770457662589, 6.78461737405107, -1.7550647057482345, 13.50696040553149)
norm;0.01620716368920505;0.010458962010712045;(90.0807374638646, 13.926641724140913)
norminvgauss;0.022147077179423547;0.00010981500603219002;(154.5732178186547, 92.18296232039387, -2.6286442088905915, 124.99787870217631)
powerlognorm;0.5061342831902417;0.0;(0.017798223875967766, 0.3653194208736492, 16.279325339943227, 1.759020284681947)
powernorm;0.008365934501265715;0.485908258743968;(3.4302544329109024, 108.00675870355484, 19.205728383024848)
skewnorm;0.008636010831395813;0.44489487764673086;(-1.3012743149680723, 101.46593224902927, 17.98815903721826)
t;0.01634257623455493;0.009576444546065481;(102.61960456535786, 90.10704068125114, 13.792791586854285)
triang;0.13069034942611396;8.83726442238635e-149;(0.5778619598819781, 35.62808671232948, 99.9217344532482)
tukeylambda;0.23097333840280454;0.0;(0.5968801110799601, 85.58911032136834, 29.818257599303493)
vonmises_line;0.016126945686727012;0.011015845637924529;(80.33406245206385, 90.08586774207942, 124.43717290398405)
weibull_max;0.020379410385136243;0.0004938591650713972;(3.561487576684943, 135.7780648590268, 50.697081385468906)
