Distribution; Statistics; p-value; Parameters
alpha;0.03325357473180224;4.967881350663411e-10;(34.90886974835229, -89.87619317055314, 8007.367303889465)
argus;0.8063;0.0;(1.3507911413485152e-05, 113.05206716163609, 45.50148459784771)
beta;0.004366050618875517;0.9911225559172594;(18.83120703205419, 8.829189806873332, 89.22239262135406, 74.13167652896033)
betaprime;0.03110501087002604;7.893021329214272e-09;(1005.7944300760855, 1026.290659352961, -6.853624135474982, 149.3739643275569)
burr;0.03725841390253859;1.7513381726867016e-12;(44.18319658704267, 0.6817246463752749, -0.8223764284238949, 142.35353470313777)
burr12;0.01724448814590962;0.00522500112636448;(30.130027662763446, 2.7061947322464937, -1.5535840293691736, 147.63863491169406)
cauchy;0.08620191097476426;5.730421631333433e-65;(140.13966814378412, 3.982261446580474)
chi2;0.042098476288097375;8.075821138158087e-16;(140.32047404003424, 79.87374102809105, 0.42629408140006336)
cosine;0.17187315462873082;5.206409378582717e-257;(137.49721107819153, 7.780404315860039)
crystalball;0.021467864589513386;0.00019859618418362662;(1344.371593649866, 217414.62021747467, 139.69115290431472, 6.454079256496969)
dgamma;0.028415606674062732;1.939264501821283e-07;(1.3814560084226226, 139.79297791336398, 3.744660006058245)
dweibull;0.023192707746160057;4.254761860819989e-05;(1.2762152775566018, 139.79285995234204, 5.557317036006219)
erlang;0.028100176636528085;2.7699916103404186e-07;(375.37418935812275, 13.295839713073612, 0.336737087127176)
exponnorm;0.021568978738450706;0.00018204262485008863;(0.029784441940331894, 139.4974231550351, 6.451130554211106)
f;0.023612567935194284;2.871990535227268e-05;(28967.03723966361, 38871.87101745244, -450.5670784153848, 590.2280596702765)
fatiguelife;0.02244041274098829;8.453919380227819e-05;(0.013056152051862457, -351.69847164431354, 491.3769367806922)
fisk;0.024441541388242727;1.2947190694971646e-05;(37.70553760454418, -0.4875500480399221, 140.27913063937206)
foldcauchy;0.10663189820175023;3.4619676236932883e-99;(6.717597851088394, 113.06385912682202, 4.032895367111777)
frechet_l;0.7826179035786938;0.0;(0.3084163416061035, 158.55168921100383, 1.4125172285274454)
gamma;0.030266909587740642;2.208054044217281e-08;(355.7898924746696, 17.05607788954643, 0.34460971103520177)
gausshyper;0.004359405477002309;0.9912828594935168;(13.195869026795073, 9.13045299904907, -9.917433650896921, 1.2437429543984178, 93.80280122731406, 69.77663028890942)
genextreme;0.8229696269625472;0.0;(4.738357000912607, 158.18686680427845, 1.7286588049968594)
genlogistic;0.02262723878620887;7.143722105188353e-05;(0.7487084585817634, 141.43341341527076, 3.303784089403491)
gennorm;0.02384794331286194;2.2969557068102564e-05;(2.099773803696822, 139.65979061307473, 9.350408968444949)
gumbel_l;0.04205754977417919;8.65172573787341e-16;(142.83812874943422, 5.929812217524351)
gumbel_r;0.08204349084028983;6.841314434741056e-59;(136.38918963766508, 6.809880139061793)
hypsecant;0.029946582225229557;3.247456858876038e-08;(139.93014147019937, 4.437240312166026)
invgamma;0.031331594771786986;5.947889190024524e-09;(350.0758042928128, 16.136417170448695, 43157.84272186243)
invgauss;0.05453873676589116;2.917956195082799e-26;(0.05127168187706979, 107.04572199028081, 643.828424164406)
invweibull;0.09551039713508402;1.1649175465975706e-79;(19.67426966816009, -0.40344107034167664, 136.62184492774134)
johnsonsb;0.004397994770944047;0.9903215885969229;(-1.6202722283908644, 2.7051278128832132, 89.6714665343633, 78.01902193397908)
johnsonsu;0.0075403404104523175;0.6203799456530708;(12.787553276272114, 8.568853007399849, 189.5687813849805, 23.46274047113223)
kstwobign;0.11164732063571914;1.0723506641242136e-108;(108.76005222520752, 35.91199922296552)
laplace;0.049565718981394224;9.159661863852216e-22;(140.01984540362352, 5.169983151118689)
loggamma;0.007398173255193763;0.6443275408322728;(10.588948019656513, 92.23579097861406, 20.52701448570525)
logistic;0.021697189796809013;0.0001629261184400021;(139.8617681653585, 3.7030316362926974)
loglaplace;0.05088935443183651;6.411392138475784e-23;(27.00781756566739, -0.445212071937072, 140.46506820861276)
lognorm;0.02242779644920223;8.550173491900337e-05;(0.005872620478374405, -955.0593507528502, 1094.7361411811316)
mielke;0.023920360059882517;2.1434145416143118e-05;(28.72855938910328, 46.19674936063889, -0.7638556635726071, 143.06903815998754)
moyal;0.12484874909105226;8.170391571893172e-136;(134.97479759063634, 4.873444152206364)
ncf;0.21086514877042933;0.0;(16.758913657090606, 473.4817788097281, 549.1896886473925, -4.991449518073621, 4.253075933869304)
nct;0.03767105297366208;9.436533951619778e-13;(334.49144423931364, 30.192875498078536, -1.148743319912735, 4.654124867032638)
norm;0.021467861946808886;0.00019859663486416907;(139.69115294085964, 6.4540791382074945)
norminvgauss;0.02936563687206667;6.468959953189665e-08;(18129.12158370819, 18115.558978585115, -39.70287765716786, 6.9434482395360755)
powerlognorm;0.38431366596685207;0.0;(0.005279366958873015, 0.09816874477795023, 112.45581685995742, 4.056987457334705)
powernorm;0.008515121497509714;0.46302485903779;(5.3937036371390885, 151.53490216994646, 9.810682002664201)
skewnorm;0.008829664235588286;0.4166738349056539;(-1.5343292794156587, 145.50632221504398, 8.68739552596733)
t;0.021457211734573767;0.00020042077471427074;(771961.0699124484, 139.69131814850016, 6.453938731692519)
triang;0.14769260361396463;6.836060421905203e-190;(0.6451403242296059, 113.05666247781204, 45.50332202771512)
tukeylambda;0.02232853354813341;9.344654207944241e-05;(0.14198698961010406, 139.6772007490627, 4.462633564388074)
vonmises_line;0.02117330967978348;0.0002553095888279588;(183.45499722634247, 139.69560567717906, 87.2774401942207)
weibull_max;0.7826179035786938;0.0;(0.3084163416061035, 158.55168921100383, 1.4125172285274454)
