Distribution; Statistics; p-value; Parameters
alpha;0.03076066952560924;1.2085872690276661e-08;(22.63429706555256, -245.61963573883958, 7498.350652501673)
argus;0.2523071715084477;0.0;(0.00044696144369790785, 29.76913732388703, 106.4143819513535)
beta;0.005813040128496927;0.8880280391945048;(27.361622896299863, 24.015845863263007, -26.371119255856776, 211.9349934352345)
betaprime;0.03901732935776597;1.1968745114930934e-13;(50.209402025743486, 150.852716481119, -3.2947898553581236, 267.56104928383763)
burr;0.022884252346168532;5.6536001485384145e-05;(13.541206994556953, 0.5288064608876012, -0.7836399815181259, 94.42215104875255)
burr12;0.013355867185525283;0.05644666504103344;(7.772891447391405, 3.401422824574067, 0.05520192566328545, 105.15725595847266)
cauchy;0.07782092544623231;4.993955909296399e-53;(86.68110903917878, 9.062545738156832)
chi2;0.024067808322901174;1.8605733560631837e-05;(210.67117441022106, -66.10128812064247, 0.7238401213398822)
cosine;0.13606593127781855;3.0974960602282454e-161;(83.14907389240796, 16.987430707749247)
crystalball;0.00953224746333503;0.3235424796311136;(704.9365651598223, 161973.16457412887, 86.49723704033562, 14.611248416864296)
dgamma;0.042358560204406426;5.204669568936395e-16;(1.3839595378023795, 85.82334061624225, 8.485145778025394)
dweibull;0.032606894437861356;1.164418382505022e-09;(1.2792573513577312, 85.84483817481245, 12.618546738184357)
erlang;0.010708672443592526;0.20161522271028798;(3620.385868045437, -793.1790317845081, 0.24297668382818788)
exponnorm;0.009527742070339462;0.3240914182548695;(0.029564265730271384, 86.06561853693478, 14.605050644905624)
f;0.011014007576654605;0.1766278096111508;(17822.08596746246, 802229.5065678703, -1277.7366187519, 1364.1979103921467)
fatiguelife;0.012060271595093208;0.10904245271155168;(0.018348772511262657, -709.682059712406, 796.0304523617729)
fisk;0.021970521090941775;0.0001283270134257084;(1217972.2989540962, -10226572.843095958, 10226659.405293427)
foldcauchy;0.09301748473808569;1.407731882318729e-75;(9.486002133433004, -0.038750697870949286, 9.142983361297343)
frechet_l;0.8158203170330639;0.0;(0.23289505941319516, 136.14685367199158, 1.646854038259388)
gamma;0.010787537549035386;0.1949132337272873;(3631.8954961325608, -794.7827977990137, 0.24264670193117144)
gausshyper;0.03769325788032907;9.125928035545634e-13;(28.878559891518343, 4.4826298470648, -24.39120381962094, -0.7811740673816749, -26.87093834940803, 185.8468159981885)
genextreme;0.822200638907671;0.0;(4.324014875976793, 134.67322558558055, 6.371989767298368)
genlogistic;0.022089524890044565;0.00011555141023230263;(1.0696935246506358, 85.68270602037529, 8.592503793144974)
gennorm;0.008854488745904665;0.4131321297467211;(2.122435158001779, 86.48191680495046, 21.274983078889065)
gumbel_l;0.057472294540280244;4.082959458278558e-29;(93.77673232152046, 14.364739871669148)
