Distribution; Statistics; p-value; Parameters
alpha;0.0266514966864283;1.3533895533815601e-06;(42.507267289129715, -53.97981637078098, 8059.793284946254)
argus;0.26652557705189783;0.0;(0.0027666813602871534, 117.20777121284394, 34.565606116345805)
beta;0.008157040050265352;0.5188162721305682;(824.6504180405932, 167.66187375433313, -175.36693424653117, 374.3847797708952)
betaprime;0.019446547564896277;0.001038251673658262;(2477.1628479294886, 3775.8227800524373, -36.00150258605876, 261.7423097716661)
burr;0.08169505226139462;2.141381741714725e-58;(41.238078446534516, 22247.661130873195, -57.36110392287459, 149.63761563827313)
burr12;0.015132640304139577;0.02051108208130589;(47.90376128610767, 1.5538222056563755, -2.86498090992911, 140.4557896001262)
cauchy;0.07531866060530623;1.0637538601606222e-49;(135.9066543290146, 2.6868601920825936)
chi2;0.028431835173610587;1.9038112627161117e-07;(161.40390827545536, 95.07699925873803, 0.25221690104746686)
cosine;0.15937635967949046;4.701926124636752e-221;(134.5220969517514, 5.510314272237833)
crystalball;0.015105208887163268;0.02085418432923041;(31.096807276902354, 457.8860932321586, 135.76197955925917, 4.451254190783317)
dgamma;0.029281948133256686;7.136184108748076e-08;(1.3438722202594104, 135.89485008874743, 2.631528677299426)
dweibull;0.022390404808305203;8.841602123642859e-05;(1.246764629109813, 135.89468961821586, 3.7826131362870403)
erlang;0.02131799145988189;0.0002257713001908123;(756.012883839596, 12.798063029969079, 0.16262862818589663)
exponnorm;0.015150938384996149;0.020285021108491296;(0.02981660947793078, 135.6288365514671, 4.449286630567579)
f;0.017543365984656722;0.0042440103036082075;(21358.24113261475, 32739.11868775604, -223.15081224651237, 358.8905193955453)
fatiguelife;0.016129665984537134;0.010996530323111296;(0.009794688289171766, -318.7953439656699, 454.5450848708409)
fisk;0.018188703622874502;0.00267600140561055;(53.497943482879094, -0.3990651836951047, 136.17567630464254)
foldcauchy;0.07839744679223914;8.244521600949543e-54;(50.55195234986602, 0.03793164538627414, 2.687706508574711)
frechet_l;0.025884512026429052;3.0298056683221715e-06;(3.9702390988975713, 151.92641426142552, 17.819512075352574)
gamma;0.020633425896137314;0.0004009723427735103;(776.0842093806723, 11.361555284880176, 0.16028121338954504)
gausshyper;0.02912718606671577;8.55031873508116e-08;(20.737201432374974, 55.01903809356094, 33.62720972484249, -0.451394508376064, 109.6081407316866, 80.51379187945548)
genextreme;0.02588682823626892;3.0225480954170264e-06;(0.25187543349722785, 134.10686941271325, 4.488304527889829)
genlogistic;0.01736457752047965;0.004808241363421747;(0.9395269239805508, 136.0500592037625, 2.4847597849163616)
gennorm;0.01403748540227101;0.038856493187101444;(1.9583228119110894, 135.76553377641886, 6.225355721510251)
gumbel_l;0.059667396378587534;2.3852912907902714e-31;(137.96648671830002, 4.324456277442033)
gumbel_r;0.07218557620608995;1.0989202657895422e-45;(133.51465787000978, 4.570031118121688)
hypsecant;0.026561668689009083;1.4891609903422333e-06;(135.83261131427713, 3.0377658346525225)
invgamma;0.022914123112556417;5.5010109540916157e-05;(1727.8698624420203, -49.982321841070416, 320728.0543218015)
invgauss;0.0703561780469803;2.0227751227721745e-43;(0.034729722245133446, 109.2273635979542, 759.5863027361065)
invweibull;0.07774184142459856;6.387091161767329e-53;(28.93875877155822, -0.3901829405734102, 133.82695982438207)
johnsonsb;0.008220311181450057;0.5087489955878582;(-7.125685856807435, 9.584135284224349, 3.3076543039452098, 195.55247020563678)
johnsonsu;0.007876373583647733;0.5643814494442247;(10.941154973337621, 15.943353249207785, 178.0160976724648, 56.87941176725295)
kstwobign;0.1058653024613512;9.000147708966528e-98;(114.73111782798937, 24.457101871354595)
laplace;0.04205833766003353;8.64026569394181e-16;(135.83971749530326, 3.536181131074847)
loggamma;0.00802203145128394;0.5405620481368186;(79.15429867627503, -36.55915547557961, 39.47718883932373)
logistic;0.01707269114759255;0.005878882975569462;(135.80965340552697, 2.541314413347382)
loglaplace;0.043305866894671835;1.02690201607561e-16;(38.44082612570806, -0.3584213188419939, 136.19817108321138)
lognorm;0.01753018336532053;0.004283437636381782;(0.008760049843885606, -371.3122785814427, 507.0443145714386)
mielke;0.018421185794643385;0.0022571449912986543;(47.530520456524826, 57.82735200973952, -0.8244595869834146, 137.34304179503005)
moyal;0.11087821688215016;3.287648447509171e-107;(132.57019338754418, 3.259737980204237)
ncf;0.19643612901150131;0.0;(47.89677032200509, 1082.268385166072, 8539.13593090896, -46.19453736570659, 1.0185745085638147)
nct;0.11537329221278991;4.821508507760015e-116;(339.39561983636145, 30.23911156351963, -1.7566379171285442, 4.5430111027486095)
norm;0.015147010451851739;0.02033336018597345;(135.76149901700032, 4.451224542055604)
