Distribution; Statistics; p-value; Parameters
alpha;0.03262421152426931;1.1384064867440848e-09;(20.690694342189396, -118.35986312452383, 4760.114668863245)
argus;0.32259808775961707;0.0;(0.0025519957870336913, 65.80551754083457, 91.67176253207148)
beta;0.005839896239250519;0.8847456759646445;(456.27290920099097, 282.0334892802273, -269.74081921354923, 618.3451682274329)
betaprime;0.0321488660937983;2.107328844805693e-09;(7959.889125474796, 145.939872647983, -21.463353060817738, 2.4362243026661536)
burr;0.022723993951915156;6.543515916973242e-05;(20.64644074036419, 0.6955141539409164, -1.1484724835349325, 116.71788055269717)
burr12;0.017762978090974157;0.0036343658544993837;(14.799614176818384, 1.9910085415405692, -0.597807470837951, 120.18369844546572)
cauchy;0.07512239867947423;1.919992097432682e-49;(112.6018621067135, 6.778335966295114)
chi2;0.023613725626812965;2.868851817001426e-05;(226.04040621978413, -7.0602456840875725, 0.5280545082730632)
cosine;0.1287470614262561;2.115484900886908e-144;(111.66412535126273, 14.592292076130217)
crystalball;nan;nan;(2.9532474357343848, 2147.1565185014897, 112.40260478111097, 11.037931114021958)
dgamma;0.02662769731045203;1.3881507384589425e-06;(1.377361402042066, 112.49726341119353, 6.407780583450376)
dweibull;0.0197945434132214;0.0007901152016510726;(1.2689471293198242, 112.4971225590682, 9.474118864293349)
erlang;0.01053811857582132;0.2167155448425893;(3755.6184855220654, -565.1442207193281, 0.18040561628247687)
exponnorm;0.008200106018573905;0.5119548611482339;(0.02985818630793812, 112.06631019021661, 11.04477656667297)
f;0.009363657889923993;0.3445145142899046;(29766.474769360226, 377607.37506857933, -1188.2966278334334, 1300.6852404055912)
fatiguelife;0.016149964975800124;0.010853362342972489;(0.050681332129369205, -106.04478855858906, 218.2168003935294)
fisk;0.021385611891918482;0.0002131017643864704;(17.753432457424807, -0.7783653478957282, 112.97442059786772)
foldcauchy;0.08403276193944087;9.237962593265898e-62;(16.566751173656254, -0.018972828445039124, 6.7981220180827355)
frechet_l;0.8386087797138447;0.0;(0.23216023009150888, 157.47443840287772, 1.3033693090099967)
gamma;0.01019628060449096;0.24955112120381512;(3772.888905593257, -566.6092429215312, 0.17997061860265173)
gausshyper;33.532909832566524;0.0;(0.04772736846254794, 16.500375840923695, -47.53250539684098, 49.06440555864508, -49.69123258382678, 216.7655125264455)
genextreme;0.02469429222377484;1.0099605562436324e-05;(0.22082396345244676, 108.12494839485865, 10.994109914886023)
genlogistic;0.02027999334962796;0.0005354433703342381;(1.0484325100281988, 111.98470311911942, 6.429137426980402)
gennorm;0.008142616279666615;0.521122747863384;(2.0210787674342194, 112.39366608721872, 15.71079128112282)
gumbel_l;0.05945717484399626;3.936028636844165e-31;(117.90123562082985, 10.972047941621398)
gumbel_r;0.06561548519030475;8.032877272441981e-38;(106.85566478966211, 11.138209212901788)
hypsecant;0.02896459026164061;1.032820129957144e-07;(112.4807778510108, 7.574791862056249)
invgamma;0.02238064307089982;8.919224115038991e-05;(389.190974810894, -107.60317758213563, 85389.99854801365)
invgauss;0.0729243263236804;1.2877726048081058e-46;(0.06985617080336767, 64.36957587808263, 685.1935282551267)
invweibull;0.09454298577255449;4.605546132882361e-78;(9.153276841658876, -0.3072332895155513, 106.5778359239774)
johnsonsb;0.00827847125291481;0.49956989655996087;(12132.196921696697, 16581.66148536175, -270975.91508434917, 834554.9667566929)
johnsonsu;0.006129826797686672;0.8466395004017921;(13.442702025770586, 32.77667744061472, 253.1163703626912, 333.5208994805979)
kstwobign;0.09876725193831565;3.7190898565012663e-85;(60.33301558237777, 60.65563130544207)
laplace;0.05027314162415503;2.230540317980794e-22;(112.58622984131817, 8.82558967130742)
loggamma;0.00602845032757085;0.8604933189329061;(645.4791335012842, -1703.5055513240204, 280.69871463030495)
logistic;0.020329059006713723;0.0005145254072877062;(112.44703152745899, 6.325143991102971)
loglaplace;0.0530629859326644;6.987794495281204e-25;(12.684910879809312, -0.37384370782645027, 112.96117956397234)
lognorm;0.011138715074987648;0.16715107276621943;(0.013951609296284577, -680.6987790748076, 793.0116345900242)
mielke;0.02272103010947757;6.561166851314966e-05;(14.381521337289985, 20.667818590612598, -1.2888573688828957, 116.85439644353144)
moyal;0.10591439855636253;7.310340574214714e-98;(104.55721171283949, 7.908748691387374)
ncf;0.042522182360669736;3.9423966066461993e-16;(65.95585918515036, 248.61307671787566, 1024.6925806531137, -5.813631588410335, 7.102261697389977)
nct;0.013914410549560441;0.04162400424300616;(339.76883422472076, 11.200447314649207, -1.589002931180537, 10.154594078028314)
norm;0.008195529674778212;0.5126821608591033;(112.39612371738353, 11.04959408558828)
norminvgauss;0.026985013394469015;9.46332568420028e-07;(1330.4542272725034, 1326.180728852896, -3.0502588597744307, 9.275437840758098)
powerlognorm;0.4701077274130368;0.0;(0.0020585301109815168, 0.10558543665886316, 65.4211569055987, 1.7382191058076926)
powernorm;0.006284704924368362;0.8244943815402112;(1.1952971585151668, 114.2201457152939, 11.640937522004332)
skewnorm;0.006217342678526971;0.8342638006251799;(-0.5783202198388875, 117.21066214344418, 12.052933108120648)
t;0.008196145265999544;0.5125843020072924;(15104.364000090745, 112.39614390968094, 11.048869826042658)
triang;0.14164724999039327;1.0661827695987923e-174;(0.5148259072661616, 65.8326168286273, 91.65477141478962)
tukeylambda;0.008294137735370355;0.49711004031833345;(0.132989523952832, 112.39902778330747, 7.53675398091384)
vonmises_line;0.007905556336241237;0.5595823435282479;(36.38868658526281, 112.40654325033027, 66.21366455342942)
weibull_max;0.8386087797138447;0.0;(0.23216023009150888, 157.47443840287772, 1.3033693090099967)
