Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.8962032,0.031757012,-0.10425367,0.6829583,0.09883751,-0.10535634
81,8100,-81.68343838688085,0.8461445,0.35854605,-0.10962904,0.64799833,0.20357513,-0.10708623
122,12200,-44.766232344757825,0.56454617,0.27980372,-0.1083338,0.69909775,0.16358002,-0.10641987
163,16300,-33.19412130123712,0.84498066,0.39153123,-0.110171616,0.6415027,0.24441388,-0.10775659
204,20400,25.636048997145412,0.9611313,-0.12946661,-0.10160169,0.8303289,-0.3375763,-0.09819334
