Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.82471865,-0.078124434,-0.10244622,0.75383115,0.01577977,-0.103989005
81,8100,-96.17115099445806,0.78680205,0.031714596,-0.10425297,0.78100145,-0.04249713,-0.10303022
122,12200,-73.39838075215503,0.58729833,0.294088,-0.108568765,0.78036475,0.0044383155,-0.10380292
163,16300,-39.92279533398945,0.94157714,-0.12771903,-0.101630434,0.8124627,-0.16650471,-0.10098869
204,20400,-3.5950340061847,0.79810774,0.2114655,-0.107209705,0.61445326,0.2045509,-0.107077576
245,24500,-4.034987740734281,0.5124494,0.29633915,-0.1086058,0.5592849,0.23281713,-0.10755907
286,28600,14.69096412172224,0.7335235,0.11955873,-0.10569792,0.7109341,0.07046755,-0.10488799
327,32700,42.917990994679585,0.7871422,0.06535416,-0.10480631,0.7443671,0.022761522,-0.10410516
368,36800,31.923607927852107,0.80106527,-0.27714267,-0.099172555,0.81324357,-0.26385456,-0.09938896
409,40900,44.128708798628786,0.99515957,0.07905229,-0.10503163,0.81489956,-0.03857966,-0.10309461
450,45000,57.391059786723396,0.90179974,-0.22284865,-0.10006564,0.8408776,-0.27571788,-0.09919761
491,49100,19.36208644658381,0.6434362,-0.09853936,-0.102110416,0.7798537,-0.06966309,-0.102585435
532,53200,65.84603614936765,0.9589225,-0.16249251,-0.101058446,0.87004596,-0.15555054,-0.101174556
573,57300,93.4221140617591,0.989509,0.24361546,-0.10773854,0.77544475,0.09372284,-0.1052756
614,61400,79.60169809980269,0.88116115,0.23381793,-0.10757738,0.71202534,0.20522854,-0.107105054
655,65500,74.85503137457988,0.58856463,0.25418255,-0.10791236,0.6676792,0.19753307,-0.106954984
696,69600,69.0128757163114,0.94917995,0.2640419,-0.10807454,0.745307,0.16587667,-0.106465675
737,73700,134.56759423669874,0.54978305,0.07361466,-0.10494219,0.68138564,0.047546957,-0.104512416
778,77800,141.69131099604147,0.5390948,-0.02087252,-0.10338796,0.6693931,0.060813166,-0.10473026
819,81900,166.3590252117855,0.96904594,0.2906743,-0.10851262,0.75563633,0.15368937,-0.10626552
860,86000,194.39196642125876,0.94746995,0.024692258,-0.10413746,0.79678327,0.078025185,-0.10501151
901,90100,132.07316018769322,0.9662305,0.30730954,-0.10878625,0.7591244,0.16046983,-0.10637068
942,94200,129.95574689119488,0.74144596,0.003521342,-0.10378922,0.7509433,-0.02391967,-0.10333463
983,98300,109.10158125716751,0.98732144,0.08754759,-0.105171375,0.8072801,0.057696093,-0.104677565
