Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.5755284,0.14368054,-0.1060947,0.7685656,-0.17263205,-0.10090199
81,8100,-104.67753275451886,0.82762486,-0.27530888,-0.09920272,0.8418212,-0.012336838,-0.10353145
122,12200,-95.64802741632798,0.9402149,0.03546332,-0.10431463,0.7727842,0.07992548,-0.10504275
163,16300,-75.57239813323146,0.9709837,0.30786955,-0.108795464,0.76807904,0.03579739,-0.10431963
204,20400,-64.08744687714514,0.9716105,0.29841244,-0.1086399,0.72403485,0.07011384,-0.10488155
245,24500,-49.91742553520658,0.89249235,-0.16866778,-0.100956865,0.8081817,-0.22658738,-0.09995122
286,28600,-19.966762398483407,0.6675122,-0.064816035,-0.102665134,0.7603108,-0.018506233,-0.10342419
327,32700,-18.252287870469985,0.8355979,-0.21460883,-0.10020118,0.7974926,-0.28049645,-0.09910674
368,36800,-10.534152737954816,0.9052823,0.35741052,-0.109610364,0.69333386,0.24941173,-0.10782786
409,40900,45.367843932521666,0.94184285,0.16531667,-0.1064506,0.75234234,0.05589113,-0.104654714
450,45000,50.706448055128014,0.8489924,-0.21048406,-0.10026903,0.8094247,-0.2155893,-0.10021019
491,49100,61.58201736352214,0.976987,0.15666941,-0.10630836,0.8307655,0.002086756,-0.10376675
532,53200,63.00084265557684,0.96915114,-0.06921819,-0.10259272,0.87131166,-0.08450728,-0.10234453
573,57300,88.40665489627773,0.79991025,0.046462674,-0.10449556,0.78090703,0.03001063,-0.104224585
614,61400,82.38928293559313,0.5505693,0.023110632,-0.10411144,0.6899339,-0.005588278,-0.103638455
655,65500,116.13785122283305,0.90241164,0.14671941,-0.1061447,0.8372676,0.1122405,-0.105574936
696,69600,89.38154004460591,0.9459936,-0.24722707,-0.09966464,0.78678316,-0.33390996,-0.09820781
737,73700,101.62778165822075,0.5053779,0.07248687,-0.104923636,0.71603674,-0.012786288,-0.10351725
778,77800,149.92044682437103,0.68207836,0.0013443693,-0.10375341,0.7321705,-0.028006691,-0.103267126
819,81900,171.5573301549566,0.88613945,-0.15571387,-0.10116995,0.7995589,-0.24165212,-0.099767886
860,86000,141.28374153894265,0.7888763,-0.24310268,-0.09973248,0.8101383,-0.12873428,-0.1015968
901,90100,149.02556986420313,0.83205426,-0.2583374,-0.09948189,0.8114328,-0.110525616,-0.10189883
942,94200,154.6078264407105,0.9688064,-0.026686491,-0.10329233,0.7755421,-0.0043960297,-0.10365636
983,98300,168.2640007860435,0.8493974,-0.167191,-0.10098116,0.7981429,-0.08768468,-0.10228625
1024,102400,144.39196830571765,0.6201896,-0.025286376,-0.10331536,0.76996773,0.019444382,-0.10404847
1064,106400,145.77078303703524,0.5044532,-0.009246089,-0.10357921,0.5484946,0.0065126577,-0.10383637
1105,110500,115.44000035757286,0.84375757,-0.14924748,-0.101276316,0.8376417,-0.03685821,-0.10311687
1146,114600,155.98458586642784,0.84439975,-0.26260552,-0.09941168,0.85323083,-0.20199034,-0.10039771
1187,118700,173.00409838249846,0.51940054,-0.13982442,-0.10143132,0.6109548,-0.06894849,-0.10259395
1228,122800,162.01539918732053,0.5707245,-0.14579126,-0.10133316,0.6344587,-0.114690416,-0.10184552
1269,126900,150.44257798779037,0.6086387,0.03455446,-0.10429969,0.6567641,0.11683065,-0.10565662
1310,131000,147.51611744410346,0.92930615,0.37676206,-0.10992868,0.7207314,0.41165835,-0.11051192
1351,135100,203.3094673777428,0.97070915,-0.27098972,-0.09927377,0.8778997,-0.29937783,-0.09881349
1392,139200,203.78836628601465,0.6657179,0.31443477,-0.10890345,0.7118608,0.25296786,-0.107882336
1433,143300,162.80488990654908,0.99053615,-0.26666644,-0.09934488,0.8489504,-0.19855392,-0.10043923
1474,147400,200.04527020539769,0.8019531,0.086862795,-0.10516011,0.7985196,0.17098647,-0.10653653
