Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.91620016,-0.21517764,-0.100191824,0.72144437,0.11831327,-0.105674304
81,8100,-83.5368255226101,0.5787368,-0.05138264,-0.102886096,0.8503451,-0.19341867,-0.10054198
122,12200,-90.04628331225062,0.83691895,-0.26802355,-0.09932256,0.78006047,-0.14368533,-0.10137653
163,16300,-72.04182094510746,0.98023516,-0.15163647,-0.101237014,0.7124571,-0.35987902,-0.097818054
204,20400,-40.26646365774783,0.5501928,-0.05398384,-0.102843314,0.7801197,-0.13307333,-0.101536505
245,24500,-31.66765308474966,0.9876855,-0.22686094,-0.099999644,0.76907665,-0.15810363,-0.101137534
286,28600,4.044347405157577,0.7853009,-0.02370934,-0.1033413,0.80003506,-0.03948147,-0.10308077
327,32700,7.430575337383792,0.9785873,0.21156213,-0.10721129,0.78245366,0.25002816,-0.10782698
368,36800,45.41439307199061,0.7825469,0.39702523,-0.11026199,0.6241628,0.3049996,-0.108759396
409,40900,34.84597220450906,0.6399565,-0.27165705,-0.09926279,0.731156,-0.180349,-0.100759424
450,45000,61.296199875530114,0.99237597,0.15402848,-0.10626492,0.8728929,0.059373323,-0.10470751
491,49100,90.81960023740659,0.7213037,-0.29855096,-0.09882041,0.7299801,-0.1498428,-0.10125096
532,53200,118.31330770971003,0.829947,-0.20025434,-0.1004373,0.7911852,-0.38863015,-0.09728716
573,57300,126.1625900155872,0.8193722,-0.1257109,-0.10166347,0.805767,-0.028317735,-0.10326272
614,61400,168.49168340706763,0.73476994,-0.033541344,-0.103179574,0.7008254,0.048651185,-0.104538575
655,65500,171.48339999611625,0.9671278,0.3047349,-0.1087439,0.7693237,0.1638287,-0.10642891
696,69600,197.94218437812876,0.9341549,-0.075115465,-0.102495715,0.8719263,-0.053675577,-0.10284734
737,73700,160.13614013800267,0.88757455,-0.17929895,-0.10078199,0.86036986,-0.14883465,-0.10129587
778,77800,156.6716330095314,0.89410686,0.2459405,-0.10777679,0.74175096,0.21862264,-0.10734255
819,81900,162.86781326852915,0.63946605,0.057859354,-0.10468303,0.7211354,0.04091509,-0.10440493
860,86000,183.75201163490513,0.6405771,-0.10286843,-0.1020392,0.7113479,-0.049962707,-0.10290813
901,90100,153.5274862074167,0.9591582,-0.24097021,-0.09976756,0.7948482,-0.07404967,-0.10251077
942,94200,212.62704487041944,0.56623673,0.39239046,-0.11018575,0.7230647,0.14013517,-0.1060369
983,98300,220.3121714874966,0.67245644,0.2687258,-0.108151585,0.75381976,0.045218665,-0.10447682
1024,102400,201.18591344517307,0.8021877,-0.10801094,-0.10195462,0.76995575,0.019386528,-0.104052946
1064,106400,181.31948491991403,0.85285026,-0.002235446,-0.10369453,0.8376357,-0.06573862,-0.10264781
1105,110500,205.81930549151028,0.976081,0.21147902,-0.10720993,0.9438413,0.1602593,-0.106375985
1146,114600,225.07238804943375,0.9079523,0.32343054,-0.10905143,0.8831241,0.19484639,-0.10693564
1187,118700,184.19749316900612,0.7164945,0.08437567,-0.1051192,0.75041926,0.10777957,-0.105505854
1228,122800,202.36421910079616,0.68519413,0.094187684,-0.10528059,0.7101899,0.043612827,-0.10444785
1269,126900,201.02941078037907,0.90794796,0.23073393,-0.10752665,0.9142813,0.092476666,-0.10524778
1310,131000,171.7022867574477,0.995945,-0.23212864,-0.09991299,0.86759007,-0.11481969,-0.10183883
1351,135100,209.1963738334375,0.9274392,0.057312954,-0.10467404,0.90578234,0.12545341,-0.105797686
1392,139200,193.6910565847781,0.56413585,0.30550972,-0.10875665,0.6365286,0.22780375,-0.10748216
1433,143300,232.1249127873392,0.6084351,0.29044756,-0.108508885,0.6233031,0.294174,-0.108561605
1474,147400,241.31485948462998,0.842803,-0.291669,-0.098933615,0.8055057,-0.19510794,-0.1005277
1515,151500,239.75672596655443,0.5182258,0.00879411,-0.10387595,0.5662736,0.09550846,-0.10530785
