Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.6099856,0.1649775,-0.10644502,0.8050797,-0.03182915,-0.10320968
81,8100,-130.80779748042247,0.90948874,-0.0020106458,-0.103698224,0.7697588,0.040275645,-0.10439336
122,12200,-96.80839149174565,0.98791295,0.2650932,-0.10809183,0.798959,-0.007496353,-0.103608266
163,16300,-46.075404419273966,0.624786,-0.16339202,-0.10104365,0.8022765,-0.24220608,-0.09974634
204,20400,-45.6052128141172,0.91557896,0.39298406,-0.11019552,0.7834861,0.20145687,-0.1070396
245,24500,-51.61640274319546,0.6314784,-0.15801485,-0.1011321,0.7755836,-0.16867884,-0.10095485
286,28600,-24.232506241136015,0.65708715,-0.09806743,-0.10211818,0.75906694,-0.024218375,-0.10333284
327,32700,17.96397269744662,0.95313245,0.37224546,-0.109854385,0.67930067,0.354342,-0.10955155
368,36800,66.64135019645826,0.85643315,-0.23881635,-0.09980299,0.7598873,-0.2841126,-0.09906463
409,40900,51.30969861000022,0.9106558,0.28063315,-0.108347446,0.77482426,0.28627375,-0.10844968
450,45000,85.905680540323,0.5381233,0.31230348,-0.1088684,0.56853294,0.28193715,-0.1083763
491,49100,101.1636290657832,0.6855154,0.07481996,-0.10496201,0.6618296,0.16783541,-0.10650499
532,53200,101.89026022080054,0.90419006,-0.10309391,-0.1020355,0.8494108,-0.11720639,-0.10179533
573,57300,101.91448730257497,0.8347572,-0.26898897,-0.09930668,0.80092967,-0.23142366,-0.099924654
614,61400,128.3235480527286,0.9754613,0.27690437,-0.10828611,0.7398561,0.25418794,-0.107923634
655,65500,150.87163821426978,0.511871,0.11814801,-0.10567472,0.6102428,0.1724484,-0.10656764
696,69600,113.16016375889153,0.6495468,0.0004550409,-0.10373878,0.6982257,-0.0584264,-0.10276896
737,73700,144.38783512866368,0.5963528,0.088973105,-0.10519482,0.65144247,0.14985973,-0.10619085
778,77800,233.4043855591334,0.81753874,0.19964181,-0.107015215,0.7835435,0.11589628,-0.10563418
819,81900,200.48361040624184,0.5223422,-0.0123074055,-0.10352885,0.6848691,-0.0020596168,-0.10369889
860,86000,182.2479984954608,0.6329608,-0.10341039,-0.10203029,0.71093965,-0.079567656,-0.10242081
901,90100,204.5530217057113,0.79860646,-0.17083053,-0.100921296,0.79092467,-0.1539484,-0.10119358
942,94200,191.20684612346392,0.64177537,-0.2455783,-0.09969176,0.76057255,-0.0765309,-0.102470994
983,98300,209.84161846244996,0.92702985,0.046445668,-0.10449529,0.7806581,0.08697269,-0.10516365
1024,102400,216.4886834100917,0.9365595,-0.020681519,-0.1033911,0.7699541,0.019392116,-0.10404907
1064,106400,212.4812029081092,0.58467597,0.059284035,-0.104706466,0.48078203,0.13370182,-0.10593521
1105,110500,244.9669809528258,0.8042035,0.3954726,-0.11023645,0.688032,0.40341932,-0.11036168
1146,114600,265.4581371182359,0.9849438,-0.215,-0.100194745,0.93628204,-0.25114056,-0.099608235
1187,118700,258.5331978100849,0.83782953,-0.25461876,-0.09954306,0.84191257,-0.30123293,-0.09876087
1228,122800,229.1369065207221,0.9898408,-0.26006377,-0.09945349,0.90714926,-0.37824407,-0.09753382
1269,126900,217.25062116522903,0.54396033,-0.030682217,-0.1032266,0.5005086,0.035083484,-0.10431038
1310,131000,239.59255466112066,0.9900248,0.0347539,-0.104302965,0.9523585,-0.091486484,-0.10221815
1351,135100,264.47255451898,0.9563473,0.030604346,-0.10423471,0.94797397,0.07536053,-0.104975246
1392,139200,278.22794801856463,0.5327382,0.11164511,-0.10556775,0.4911258,0.13114157,-0.10589399
1433,143300,286.95315957880405,0.7376294,-0.14027916,-0.10142384,0.76089025,-0.23111865,-0.09993065
1474,147400,206.98756454762665,0.79647636,-0.06379561,-0.10268192,0.76934415,0.032965604,-0.10427691
