Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.9753269,0.30783337,-0.10879487,0.7284136,0.01931167,-0.10404576
81,8100,-70.76067323530984,0.94975734,0.36503404,-0.109735765,0.7005854,0.17203139,-0.106548525
122,12200,-74.8024192680497,0.5010266,-0.103292085,-0.10203224,0.7026287,0.08159471,-0.10507511
163,16300,-83.23687851632899,0.64859456,-0.060406875,-0.10273766,0.8053558,-0.18933296,-0.1006078
204,20400,-58.72067595318719,0.9888943,0.24275477,-0.10772438,0.76559424,0.18767881,-0.10681377
245,24500,-45.497753971558396,0.93392485,0.14233862,-0.106072634,0.7390691,0.23380215,-0.10755818
286,28600,26.13227954009397,0.9133403,-0.17130136,-0.10091355,0.86777407,-0.019502725,-0.10340478
327,32700,49.74352661134694,0.9463488,-0.101199016,-0.102066666,0.83982337,0.00420806,-0.10379666
368,36800,94.30263878210262,0.8961057,0.09685613,-0.10532449,0.8858474,0.04086638,-0.104403175
409,40900,72.09905195150787,0.9257756,0.065653026,-0.10481123,0.89977676,-0.07043116,-0.10257792
450,45000,180.78005027164812,0.8506499,0.25702152,-0.10795906,0.7140885,0.31460553,-0.10892056
491,49100,168.34721137624038,0.5929244,-0.06636208,-0.102639705,0.6736717,0.019455532,-0.10405243
532,53200,171.67258995920187,0.765299,-0.03694218,-0.103123635,0.7555041,0.022394577,-0.10410172
573,57300,173.50433085074593,0.52809215,0.028940788,-0.104207344,0.6643491,0.009438104,-0.10388603
614,61400,156.123387388365,0.8809212,0.13690041,-0.10598318,0.8213191,0.1731726,-0.10658302
655,65500,205.6115567865478,0.9641347,0.17914422,-0.106678054,0.87102276,0.068521895,-0.10485273
696,69600,202.0755538951874,0.7819954,-0.09297232,-0.10220199,0.8063796,-0.1401269,-0.10143689
737,73700,232.654857368736,0.94446605,-0.28292128,-0.09907751,0.83314323,-0.2556677,-0.09950559
778,77800,218.27830578491222,0.86519617,-0.23541628,-0.09985892,0.7813563,-0.31736672,-0.098519176
819,81900,234.7568063114484,0.8896201,-0.20018105,-0.100438505,0.7943843,-0.2567736,-0.09952707
860,86000,187.6080574205043,0.7553354,-0.2667126,-0.09934412,0.7652152,-0.061932925,-0.10271031
901,90100,233.06156755790747,0.55081487,0.0033587595,-0.10378654,0.6944539,0.10700352,-0.10549568
942,94200,250.0210867661906,0.8618295,-0.1493408,-0.10127478,0.80172205,-0.1719302,-0.10088332
983,98300,245.83935001052848,0.98654705,-0.14977019,-0.10126772,0.7997939,-0.07813189,-0.10243746
1024,102400,260.50872292203667,0.79299337,0.3285565,-0.10913575,0.76996666,0.019431138,-0.10404806
1064,106400,242.0037931797745,0.9983294,0.23248929,-0.10755553,0.9525759,0.28089628,-0.10834157
1105,110500,214.5229649493586,0.9979175,-0.015933814,-0.1034692,0.9774405,-0.0389121,-0.10308727
1146,114600,258.29008495722786,0.5674392,0.25359774,-0.10790274,0.6563103,0.18399283,-0.10676512
1187,118700,253.36345355473605,0.5789681,-0.05615892,-0.10280754,0.5661953,0.02999496,-0.10422403
1228,122800,276.1050126895816,0.96566683,-0.28792706,-0.098995164,0.85704625,-0.28267968,-0.09908282
1269,126900,254.6653292062913,0.89301676,-0.09919613,-0.10209961,0.90580016,-0.026382668,-0.10329719
1310,131000,277.04657340684923,0.9571417,-0.11735049,-0.10180099,0.9329904,0.012177812,-0.10392389
1351,135100,278.7936155371647,0.8558593,0.24595635,-0.10777705,0.9004796,0.14206336,-0.106082916
1392,139200,269.4793680623767,0.9089182,0.32774723,-0.10912243,0.8860126,0.22513255,-0.107451536
1433,143300,234.1087232359521,0.7675857,0.30971864,-0.10882588,0.7421819,0.3197302,-0.108990684
1474,147400,239.81760379701242,0.6553538,0.011978883,-0.103928335,0.7146179,-0.067853294,-0.10260485
