Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.82920617,-0.26678354,-0.09934296,0.72460014,0.0420008,-0.10442543
81,8100,-105.33979654878044,0.5411474,-0.12473984,-0.101679444,0.634244,0.23068817,-0.10754176
122,12200,-72.3404297504032,0.9489512,0.37275746,-0.10986281,0.8558362,0.10353335,-0.1054416
163,16300,-46.95329165615339,0.89021975,0.3528574,-0.10953547,0.73633295,0.07024311,-0.104885645
204,20400,3.258371931800338,0.6073482,0.16883206,-0.10650843,0.7134723,0.22868764,-0.107497685
245,24500,9.809149492784414,0.93659776,-0.18618894,-0.10066866,0.83820015,-0.06714428,-0.10263053
286,28600,11.799640006802166,0.5647183,-0.17452118,-0.10086059,0.829648,-0.11736342,-0.10179175
327,32700,16.165619378500956,0.9669698,-0.17686924,-0.100821964,0.9293611,-0.17735542,-0.10081425
368,36800,39.340871386990266,0.8774306,-0.2292661,-0.09996008,0.8163464,-0.22276875,-0.10006338
409,40900,64.8798503857862,0.9824151,-0.046441685,-0.102967374,0.9204648,0.024043871,-0.10412839
450,45000,97.32348787748477,0.9028608,0.25072372,-0.10785547,0.7081168,0.25995284,-0.10799905
491,49100,101.18078836863454,0.9827914,0.29473647,-0.108579434,0.6822518,0.2969924,-0.108604275
532,53200,114.64021815127518,0.86525726,-0.107888594,-0.10195663,0.8576333,-0.070998214,-0.102562144
573,57300,123.19474887523134,0.52000207,0.0710147,-0.10489942,0.57569575,0.12687665,-0.1058294
614,61400,149.16852221405335,0.83669424,-0.2616724,-0.09942703,0.78093135,-0.31998777,-0.09847236
655,65500,143.5069371593084,0.7922728,0.33974114,-0.109319724,0.63889796,0.33936474,-0.109333
696,69600,206.1948225470442,0.6620918,0.084949724,-0.10512864,0.74464333,-0.019551743,-0.10340883
737,73700,170.60332717270578,0.5917469,0.16131341,-0.106384754,0.6247254,0.16541259,-0.106469974
778,77800,185.08881679474558,0.96932745,-0.28575295,-0.09903093,0.84361684,-0.1310353,-0.10157417
819,81900,214.03337211408993,0.51343423,0.34657964,-0.109432206,0.6567107,0.107819356,-0.10550783
860,86000,209.57444112306112,0.70708257,-0.17419116,-0.10086601,0.73845625,-0.11216184,-0.10188367
901,90100,238.09316500236875,0.96954703,-0.057561554,-0.10278446,0.8226654,-0.09578801,-0.102140784
942,94200,200.00750801661187,0.93527657,-0.053406212,-0.102852814,0.81944615,0.020312266,-0.1040647
983,98300,184.8140650186825,0.9101211,0.18379526,-0.10675456,0.72533655,0.059980545,-0.1047252
1024,102400,226.89129904395375,0.88062936,0.36418852,-0.109721854,0.76997006,0.01941174,-0.104049645
1064,106400,207.78181461441164,0.72029996,-0.19961727,-0.10044778,0.7298028,-0.18524079,-0.10067364
1105,110500,204.94287919146285,0.6453034,0.08416006,-0.10511565,0.6502076,0.13747232,-0.105998054
1146,114600,262.5855757927199,0.986622,-0.16885597,-0.10095377,0.9140715,-0.27949405,-0.09912719
1187,118700,244.12386036852453,0.85238856,-0.017386585,-0.1034453,0.8601931,-0.13668752,-0.1014899
1228,122800,248.1364631522789,0.9131392,-0.099710725,-0.10209115,0.91418594,-0.17583443,-0.10084343
1269,126900,269.8082430070653,0.8947374,0.26324677,-0.10806146,0.85696954,0.25334382,-0.1079037
1310,131000,255.28575184695015,0.51112175,-0.07241145,-0.102540195,0.49141076,-0.039276425,-0.10308656
1351,135100,229.69620299738355,0.9521398,-0.29370776,-0.09890008,0.86913973,-0.33997595,-0.098140925
1392,139200,242.8752627296279,0.93578464,0.37711462,-0.10993448,0.8238936,0.35377568,-0.109556034
1433,143300,225.8755168692354,0.9452141,0.36717874,-0.10977104,0.84100896,0.30170268,-0.10868421
1474,147400,237.8259734900663,0.6466188,-0.19117571,-0.10058663,0.66086394,-0.24524952,-0.099680625
