Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
81,8100,NaN,0.7769092,0.39661947,-0.110255316,0.7367664,-0.0109771285,-0.10354839
163,16300,-115.86945571373508,0.77679414,-0.24302213,-0.09973381,0.5529144,-0.12024208,-0.10174954
245,24500,-36.37383193939653,0.9894229,-0.051284254,-0.10288772,0.93446875,-0.07429412,-0.102515034
327,32700,87.14659199528052,0.91456753,-0.2090846,-0.10029205,0.9359127,-0.14495002,-0.101355314
409,40900,103.70730405986747,0.71581185,-0.07213542,-0.10254473,0.70577586,-0.14288986,-0.10138647
491,49100,148.63766973961856,0.59255743,0.11647485,-0.1056472,0.56521046,0.10937518,-0.105527475
573,57300,153.5726077091982,0.8858271,0.33737576,-0.10928081,0.5946066,0.35964066,-0.109619714
655,65500,137.5979258655825,0.81337494,-0.12554954,-0.10166612,0.82167083,-0.20360225,-0.100361995
737,73700,176.07290313311773,0.59143883,0.36112085,-0.1096714,0.61886626,0.2859196,-0.1084596
819,81900,182.26683834123844,0.725523,0.06368262,-0.10477882,0.8017252,0.02805912,-0.10419009
901,90100,147.02392723282898,0.5830922,0.38566902,-0.11007519,0.7259437,0.12639622,-0.105800755
983,98300,167.18750983638975,0.98843205,0.1717821,-0.10655695,0.74121445,0.09547528,-0.10528902
1064,106400,215.96073696432143,0.67102104,0.15053241,-0.106207415,0.67357296,0.16133063,-0.10637609
1146,114600,190.25409562553824,0.8816586,0.2624233,-0.10804792,0.8351607,0.21597508,-0.10729785
1228,122800,195.5534835462554,0.9862982,-0.26470113,-0.09937721,0.88348037,-0.23742922,-0.099837154
1310,131000,142.47442562462228,0.9084657,0.31724793,-0.10894973,0.8638454,0.2190175,-0.10735436
1392,139200,229.51430784118696,0.6531171,0.13237116,-0.10590868,0.65109515,0.18383558,-0.10674398
1474,147400,191.48386934194556,0.5629232,-0.025878357,-0.10330562,0.5932239,-0.07404217,-0.10250546
