Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.8833337,0.047995206,-0.104520775,0.7931684,-0.11598314,-0.10182277
81,8100,-115.04592298682,0.9163305,-0.28263882,-0.09908215,0.7614638,-0.07734828,-0.10245843
122,12200,-109.47828371869163,0.9852228,0.08701591,-0.10516263,0.7992082,-0.122117184,-0.10171661
163,16300,-62.886816402207806,0.93715966,0.27841863,-0.10831102,0.71268,0.16621175,-0.10646712
204,20400,-61.12450443964374,0.87425005,0.16566572,-0.10645634,0.7391906,0.115207456,-0.10563548
245,24500,-35.439851859999806,0.96571195,0.30974993,-0.10882639,0.71639264,0.2843267,-0.10840338
286,28600,15.629092189013214,0.8851596,-0.18699941,-0.10065533,0.82504815,-0.13749231,-0.10147479
327,32700,23.791960271123376,0.96118045,-0.25056243,-0.09960978,0.7688738,-0.2516913,-0.0995703
368,36800,42.64522571547849,0.89388716,-0.28843346,-0.098986834,0.8211073,-0.2507089,-0.09961036
409,40900,62.92693030261458,0.9361415,0.21088424,-0.107200146,0.76011324,0.15756193,-0.10632101
450,45000,18.257401181303276,0.958447,-0.07818953,-0.10244515,0.84818053,-0.19142841,-0.10059336
491,49100,47.94252922964149,0.7410186,0.08045609,-0.10505472,0.75986975,0.026331007,-0.104167245
532,53200,70.70932686038554,0.81790406,0.009857538,-0.103893444,0.8069228,0.0695159,-0.10488105
573,57300,103.98526042736816,0.9685998,-0.038195644,-0.10310301,0.79845876,0.084128246,-0.1051085
614,61400,123.97430960153257,0.98701185,-0.018779261,-0.103422396,0.84657,-0.046060234,-0.10297443
655,65500,111.56235190009703,0.6805895,0.35406697,-0.10955536,0.62701684,0.32927948,-0.109186456
696,69600,132.16915127721916,0.5269046,-0.052791707,-0.102862924,0.6766778,0.11074864,-0.10554761
737,73700,126.93286466317902,0.7777785,-0.022622123,-0.103359185,0.76433384,-0.083139956,-0.10236306
778,77800,119.83580305192937,0.94407374,-0.24143033,-0.099759996,0.8055658,-0.27304083,-0.09923351
819,81900,106.74860345598776,0.8249001,-0.16206986,-0.1010654,0.75966847,-0.13250104,-0.1015585
860,86000,126.22780493894298,0.9720068,0.15357639,-0.10625748,0.73809224,0.14998625,-0.106202856
901,90100,147.3798623613611,0.8359054,0.09878001,-0.105356134,0.82178056,0.05320935,-0.104608454
942,94200,145.08304780992353,0.61841947,0.01925871,-0.10404808,0.76873225,0.0836123,-0.1051134
983,98300,203.1104627684601,0.5178596,0.3229944,-0.109044254,0.71252763,0.14318483,-0.10610892
1024,102400,185.74097046484775,0.5563829,0.2067591,-0.10713229,0.7699464,0.019462109,-0.10405269
1064,106400,176.30933413367097,0.8326716,0.37547725,-0.109907545,0.7548039,0.38344982,-0.1100528
1105,110500,175.6215284728808,0.52460235,-0.0012030551,-0.10371151,0.5593691,-0.024675088,-0.10332964
1146,114600,207.27629061605316,0.9554873,0.047265664,-0.10450877,0.93866456,-0.00031302657,-0.10372475
1187,118700,199.04412308264983,0.99369144,-0.24237533,-0.09974445,0.8740827,-0.38325414,-0.09747721
1228,122800,189.77862843078435,0.8587431,-0.20508564,-0.10035783,0.788879,-0.28272626,-0.099097095
1269,126900,207.27700635430455,0.93273765,0.3290728,-0.10914423,0.8627065,0.3028345,-0.10871837
1310,131000,245.083210941319,0.67523843,-0.0068632667,-0.1036184,0.6747851,0.044326503,-0.10445936
1351,135100,202.83424150755195,0.6123565,0.21969353,-0.10734505,0.6288479,0.19072661,-0.10686876
1392,139200,236.95662273899276,0.74965686,0.3949977,-0.110228635,0.7082264,0.38409528,-0.11005715
1433,143300,219.0161388899927,0.57200617,-0.16520154,-0.101013884,0.6188888,-0.04503627,-0.10299028
1474,147400,223.44085513369552,0.82950824,0.1957974,-0.10695198,0.8492574,0.120514214,-0.105718285
