Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.80321354,-0.0748447,-0.10250017,0.6389152,0.20717941,-0.107117124
81,8100,-74.26505625305971,0.9795842,0.20498249,-0.107103065,0.75221014,-0.18918048,-0.10060667
122,12200,-79.6420782972751,0.5030545,0.36061084,-0.10966301,0.8430389,0.016610477,-0.10400648
163,16300,-62.201433478331126,0.9972818,-0.10908753,-0.10193691,0.7520017,-0.45817012,-0.09618403
204,20400,-73.04646206897517,0.5618836,0.025897468,-0.104157284,0.6283141,-0.08629897,-0.10230711
245,24500,-45.89865615824143,0.5500694,-0.10840608,-0.10194812,0.6724936,-0.121703036,-0.10173148
286,28600,22.712440622443754,0.98879695,-0.009735163,-0.10357116,0.87470436,-0.066048734,-0.10265238
327,32700,2.632794376084809,0.9884848,-0.22618158,-0.10001082,0.85386616,-0.2513829,-0.09961026
368,36800,44.433384722126,0.79950047,-0.25109327,-0.099601045,0.83141434,-0.22351316,-0.10006975
409,40900,69.24957209562525,0.95695764,0.032281823,-0.1042623,0.8799955,0.07548201,-0.10498003
450,45000,80.11718034260456,0.9127471,0.18449393,-0.106766045,0.86020243,0.07998216,-0.105055414
491,49100,92.40064879502461,0.64439875,-0.29152417,-0.098936,0.7335074,-0.2554677,-0.09953607
532,53200,133.54591022799454,0.8490311,-0.24286227,-0.09973644,0.80074704,-0.17726319,-0.10082209
573,57300,134.00384810903185,0.71708614,0.36296383,-0.109701715,0.6612821,0.32194424,-0.109047435
614,61400,150.52810523851053,0.94738925,-0.0075091864,-0.103607774,0.8668315,-0.093124196,-0.10220026
655,65500,124.38086298605207,0.94313765,-0.2614449,-0.09943077,0.83166474,-0.27545232,-0.09921213
696,69600,149.52696741202237,0.87949157,-0.19696149,-0.100491464,0.7983699,-0.27497217,-0.09919283
737,73700,167.75382849752754,0.5023637,0.282163,-0.108372614,0.7159361,0.1319732,-0.10589648
778,77800,160.5900419697892,0.71216995,0.16768807,-0.106489606,0.7374448,0.19495764,-0.10694473
819,81900,153.62210840220982,0.8701618,0.3706769,-0.109828584,0.7066206,0.22193228,-0.10736697
860,86000,198.7938391700322,0.9529119,0.3635751,-0.109711766,0.8061358,0.083537534,-0.105099946
901,90100,137.9351789554309,0.98899674,0.2705456,-0.10818152,0.79863036,0.10748408,-0.105500326
942,94200,151.94422246226054,0.99749786,0.17847288,-0.106667005,0.79971814,0.052450955,-0.10459335
983,98300,166.4108330958204,0.78344625,0.3132367,-0.108883746,0.7114909,0.14536515,-0.106122784
1024,102400,164.7263876825571,0.5454722,-0.001251509,-0.10371071,0.7699801,0.01936632,-0.104049206
1064,106400,160.90055026717948,0.8489006,-0.021157108,-0.10338328,0.7782849,-0.009767849,-0.10356952
1105,110500,162.3765503519303,0.9741293,-0.14514697,-0.101343766,0.8758688,-0.10365485,-0.1020175
1146,114600,192.0843177240724,0.8953889,0.07058397,-0.104892336,0.8928517,0.035569053,-0.10431202
1187,118700,164.8606076247244,0.6567259,0.059289213,-0.10470655,0.7136903,0.0053564613,-0.10381679
1228,122800,179.54178202532847,0.95251834,-0.099815845,-0.10208942,0.90325344,-0.15578444,-0.10115398
1269,126900,193.15772921178154,0.6018725,-0.23645039,-0.09984191,0.62688065,-0.16876215,-0.10095556
1310,131000,147.22907149107613,0.64578766,-0.26893917,-0.0993075,0.6695928,-0.20515253,-0.10034656
1351,135100,157.52403745517162,0.76986563,0.35649762,-0.10959535,0.7669123,0.2501464,-0.107864074
1392,139200,160.06719746534336,0.97742975,-0.16284329,-0.10105268,0.8752646,-0.14038378,-0.10142407
1433,143300,138.54963194048625,0.83501726,-0.11397293,-0.101856545,0.7497351,-0.15208888,-0.10122225
1474,147400,158.08384813876486,0.99768865,-0.13369784,-0.101532094,0.9138999,-0.12388399,-0.10169617
1515,151500,138.83750347660566,0.8434663,-0.2061023,-0.100341104,0.8168652,-0.23203951,-0.099909596
