Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.5955728,-0.10206048,-0.102052495,0.73767865,0.04176671,-0.10441832
81,8100,-94.71421220263697,0.708482,-0.097979926,-0.10211962,0.62900627,0.054187834,-0.10462123
122,12200,-83.50881505638449,0.82894105,-0.1648103,-0.10102032,0.70938027,-0.033751834,-0.103176326
163,16300,-79.28239900848439,0.9176394,0.2961862,-0.108603284,0.75329274,0.22293116,-0.10741
204,20400,-39.5859230958813,0.68342656,-0.2643782,-0.09938252,0.69279045,-0.22499283,-0.10002044
245,24500,10.337323146335443,0.8920253,0.30381352,-0.108728744,0.772611,0.24333175,-0.10773094
286,28600,25.48162111534613,0.9191224,-0.17033452,-0.100929454,0.8275403,-0.119982675,-0.101749465
327,32700,46.99177066803563,0.6535026,-0.21834762,-0.10013968,0.6822259,-0.1477639,-0.10129897
368,36800,93.84404695828259,0.97391534,0.14713636,-0.10615155,0.83458275,0.20818631,-0.10715624
409,40900,113.81290520746013,0.55228925,0.17776139,-0.10665531,0.5731173,0.20534886,-0.10711097
450,45000,90.00035886808074,0.82061285,-0.26801884,-0.09932264,0.7747266,-0.21885043,-0.10013309
491,49100,145.1560826392043,0.94388777,-0.21844374,-0.1001381,0.8368589,-0.28096926,-0.09911192
532,53200,140.9309573669543,0.94458246,0.10299139,-0.10542541,0.8685129,0.09815854,-0.10534062
573,57300,116.71128778503363,0.99247754,-0.1732644,-0.100881256,0.8880855,-0.11387965,-0.10185541
614,61400,111.63967313275106,0.8381714,-0.2771294,-0.09917278,0.8331925,-0.25789976,-0.09948821
655,65500,116.5504603266648,0.6844951,0.24701144,-0.107794404,0.62058634,0.25479597,-0.10790612
696,69600,117.50709001243656,0.8148267,-0.2385419,-0.0998075,0.8274943,-0.20852478,-0.100286
737,73700,161.77622544736656,0.8691169,-0.19446316,-0.10053256,0.8323621,-0.08861603,-0.10226882
778,77800,140.40367879188636,0.96842253,0.11577207,-0.105635636,0.8524764,0.119367436,-0.10568821
819,81900,150.87949800356597,0.70547324,-0.09364458,-0.10219093,0.7906176,-0.19452986,-0.10054909
860,86000,146.13819554178227,0.96705556,0.07203739,-0.104916245,0.82746696,0.075979866,-0.10497889
901,90100,93.89059488576314,0.8742588,0.19103052,-0.10687357,0.79658854,0.118290685,-0.10567484
942,94200,137.64782241899624,0.6723501,0.35736105,-0.10960955,0.7226919,0.15878867,-0.106347874
983,98300,137.21344960224448,0.7640812,-0.1708526,-0.10092093,0.75636697,-0.041807678,-0.10303864
1024,102400,117.23238695899246,0.87766254,0.21458904,-0.107261084,0.76997566,0.019433273,-0.10405298
1064,106400,155.12031199930047,0.8271913,0.088047095,-0.105179586,0.7568686,0.13753113,-0.10598697
1105,110500,156.65003619111363,0.5807382,0.10003945,-0.105376855,0.63048273,0.076947935,-0.10499193
1146,114600,128.17940682117919,0.7037989,0.20272975,-0.10706601,0.6597386,0.17585842,-0.10661748
1187,118700,130.09153492883132,0.54946566,-0.08806827,-0.10228266,0.63009614,-0.13128835,-0.101575084
1228,122800,85.48750818710882,0.5990234,0.23815961,-0.1076488,0.73285747,0.08661252,-0.10515265
1269,126900,103.9109877295527,0.74328566,-0.23914628,-0.09979756,0.777927,-0.1398478,-0.10143448
1310,131000,127.63282289462805,0.9896501,0.22700667,-0.10746534,0.8422785,0.21776791,-0.10731233
1351,135100,102.2027031102833,0.52514756,0.049994368,-0.104553655,0.65929794,0.043615714,-0.10444735
1392,139200,83.25708916450905,0.7761872,-0.003476421,-0.103674114,0.7693352,-0.07285138,-0.10253587
1433,143300,68.74863447435446,0.8657324,-0.08574722,-0.102320835,0.83918583,-0.16334192,-0.101047486
1474,147400,85.45046464039588,0.5848487,0.32998136,-0.10915918,0.6625476,0.22623742,-0.10746434
1515,151500,74.5572673479182,0.9810689,-0.09325246,-0.10219738,0.8858833,-0.053545248,-0.10284896
