Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.95025516,-0.21936853,-0.10012289,0.7314926,0.12463556,-0.10578815
81,8100,-82.87735047555708,0.88721174,0.31226867,-0.108867824,0.7801282,0.031499505,-0.10425533
122,12200,-77.77596122631238,0.69151944,-0.27696502,-0.09917548,0.8149173,-0.04787955,-0.10294917
163,16300,-67.43663480568901,0.99767166,-0.008874143,-0.103585325,0.7201009,-0.033624418,-0.103179626
204,20400,-21.64775700917765,0.8562834,0.19073048,-0.10686863,0.70083326,0.20632605,-0.10713553
245,24500,-29.62702112711792,0.70219445,0.1868638,-0.106805034,0.7334564,0.17952694,-0.10668262
286,28600,-18.082037297239793,0.6753699,-0.09422681,-0.10218135,0.8356113,0.04352449,-0.10445043
327,32700,-5.456830493528803,0.96066844,-0.03800093,-0.103106216,0.8051421,-0.14499278,-0.10134677
368,36800,3.3693028015907864,0.9360722,0.23517643,-0.10759973,0.7142902,0.20469862,-0.10712006
409,40900,10.96479344392741,0.7385466,-0.03529248,-0.10315077,0.7704065,-0.05403462,-0.102847435
450,45000,41.1743537706224,0.9810488,-0.27465218,-0.099213526,0.8402693,-0.27740782,-0.09916583
491,49100,63.24725260131994,0.5056643,-0.08439362,-0.1023431,0.74781287,-0.0447905,-0.102999404
532,53200,75.04186811719626,0.98884475,-0.26870906,-0.099311285,0.7940057,-0.3610523,-0.097786814
573,57300,60.3339993430688,0.71920013,0.13009588,-0.10587125,0.71475583,0.17240147,-0.10657204
614,61400,78.77598297718755,0.99120486,0.22549586,-0.107440494,0.7699659,0.16535328,-0.10645195
655,65500,102.26682059726964,0.6243466,0.246332,-0.10778323,0.70125526,0.16289213,-0.10641745
696,69600,32.07719054144625,0.97087157,0.30485412,-0.10874586,0.7810032,0.12167869,-0.10573994
737,73700,117.7222612678322,0.92307186,-0.044518907,-0.102999,0.81456506,-0.10833024,-0.10195545
778,77800,121.56675042913805,0.5951373,0.020407237,-0.104066975,0.7321995,-0.0057257283,-0.103641495
819,81900,105.92534045662865,0.59564,0.08287422,-0.1050945,0.7135794,0.06973993,-0.10488499
860,86000,110.63373866864822,0.512707,0.21094678,-0.107201174,0.726807,0.1237689,-0.10576688
901,90100,117.73143690090633,0.80319136,0.28953263,-0.108493835,0.7391899,0.11045427,-0.10555318
942,94200,124.68562424315012,0.93840224,0.38356853,-0.11004064,0.74893457,0.10543213,-0.10547238
983,98300,100.00840021390933,0.98504186,-0.26653704,-0.09934701,0.79648876,-0.09842663,-0.10211455
1024,102400,141.98227729493928,0.8597225,0.36961225,-0.109811075,0.76995367,0.01941787,-0.10405495
1064,106400,117.27351705717754,0.9565281,0.35728785,-0.109608345,0.7855581,0.3384871,-0.10930319
1105,110500,135.964716842668,0.9571902,0.13786593,-0.10599906,0.8967225,0.13384075,-0.10593297
1146,114600,115.27924480218581,0.6927725,0.029246867,-0.10421238,0.7300674,-0.0196649,-0.10341179
1187,118700,132.67254721627083,0.9681101,0.050241135,-0.104557715,0.93970907,0.057784166,-0.104682945
1228,122800,171.61206390558766,0.87806696,0.32658502,-0.109103315,0.7534134,0.22354472,-0.107415974
1269,126900,183.5940190104811,0.6541655,0.1216537,-0.10573239,0.67844623,0.056293286,-0.104658045
1310,131000,184.2809469389459,0.91538185,0.24571787,-0.107773125,0.838248,0.24054673,-0.107687116
1351,135100,179.3596665376447,0.9475295,0.25772688,-0.10797066,0.7978712,0.27172136,-0.10820385
1392,139200,219.2827290523844,0.9831485,0.18660367,-0.10680075,0.8812639,0.18227434,-0.10673555
1433,143300,176.9449627371771,0.78370845,-0.25705126,-0.09950304,0.7977071,-0.34881026,-0.09799132
1474,147400,212.72740342468808,0.9751781,0.30312148,-0.10871736,0.7707652,0.15796112,-0.10633528
